m.z,p.value,mode,r.t
85.02851418,0.06747224445086746,positive,131.1573725
85.02852501,0.21252872271319678,positive,215.4608808
85.02854329,0.0745550967655126,positive,63.34623454
85.04787871,0.09061314260984375,positive,68.4608309
85.06494461,0.02055952472891543,positive,80.64470557
85.084284,0.25170755054677335,positive,78.40802775
85.51563778,0.0485670826700381,positive,248.2971442
85.51567761,0.9149970577724504,positive,112.9854964
85.96320509,0.4816807937150851,positive,111.6921501
86.06016135,0.5069736698758482,positive,216.9908456
86.0601925,0.24341554971394644,positive,52.56587214
86.09671877,0.058580195543694376,positive,42.22890748
86.90877707,0.6685633297559812,positive,44.40752206
87.02643287,0.12902571668314927,positive,46.42061899
87.04417962,0.5248758114046645,positive,193.1000976
87.04419351,0.16828046428297802,positive,40.66252833
87.05522898,0.021361550144360142,positive,72.87967592
87.09991092,0.058729007219608206,positive,42.67327625
88.02165936,0.18222290535506164,positive,222.8264241
88.02167949,0.8649748297523073,positive,45.91156728
88.02327606,0.6097308983382512,positive,113.385672
88.03944205,0.02324109093266433,positive,65.17186523
88.05794721,0.19820229532295797,positive,64.11710971
88.07580684,0.22911354861127914,positive,118.4920157
88.50919687,0.11959985593886224,positive,221.3935791
88.95271267,0.9835468655760562,positive,261.9726165
88.95273811,0.8414401313153825,positive,111.6500749
88.99312051,0.507268734956069,positive,61.92352986
88.99316247,0.3813879883794853,positive,183.8848275
89.00842819,0.31157620555116794,positive,247.6802567
89.04266952,0.9852601720827966,positive,188.2798049
89.05978247,0.6893513866396459,positive,27.26995829
89.0598271,0.9428854785818999,positive,195.8624114
89.07918289,0.4003903664272508,positive,221.2268461
89.50688056,0.7775919430654676,positive,218.4804827
89.50688344,0.31266421406073974,positive,142.7711344
90.00843588,0.03139660726345316,positive,218.9096411
90.03709066,0.40326676136042483,positive,25.8191163
90.03733647,0.4651963488806835,positive,228.4639252
90.05060471,0.11282330900955276,positive,183.2134057
90.05508936,0.0963572495413908,positive,55.18832425
90.09142734,0.17164672411522378,positive,39.63974989
90.50709993,0.8517682267547816,positive,120.6064415
90.52624909,0.5860554436883381,positive,111.4854188
90.94783596,0.4052575706185535,positive,246.632256
90.97677303,0.29188371228912235,positive,52.84493238
91.0059775,0.4492774302297212,positive,240.2764541
91.00875319,0.6360870388796136,positive,240.7072369
91.0240607,0.11250284563415461,positive,246.0172789
91.02417098,0.746869263342516,positive,112.6591018
91.02768386,0.6123210699441749,positive,227.8057012
91.02918592,0.8641458067827293,positive,219.1367037
91.03986115,0.8319611886968465,positive,46.33493334
91.05436396,0.03781997702004794,positive,42.20327484
91.05750173,0.2708837116436155,positive,214.079484
91.05782113,0.3654048354904681,positive,26.67542853
91.50479097,0.9693677265852414,positive,246.0100627
91.52402494,0.40292346077158336,positive,114.0134644
91.52854739,0.6378303025375534,positive,117.7543492
91.78501284,0.3483325502487572,positive,142.8405987
92.02586347,0.32579452846755275,positive,117.9634622
92.03705676,0.30887526026865286,positive,88.59077488
92.05773444,0.09148501646111273,positive,52.71882924
92.05774271,0.5564382444335121,positive,214.0898366
92.50359531,0.31836724512524606,positive,238.9458005
92.52243012,0.7635628939195658,positive,235.2480047
93.02415079,0.5166930203774781,positive,118.4238333
93.03679256,0.5675767283574977,positive,221.2578289
93.04040176,0.12375887855504164,positive,220.6811079
93.04487893,0.04109408258522065,positive,74.0369443
93.07003733,0.11441763976641538,positive,182.8403341
93.50398409,0.3173610119962506,positive,265.294459
93.98424874,0.2954177923421403,positive,111.4945109
94.00562802,0.18540677795074606,positive,102.2284692
94.0401222,0.46562256675683766,positive,207.6449449
94.04013541,0.47134127138720017,positive,18.71977816
94.04523059,0.10283055966932589,positive,89.29390412
94.06527834,0.12586150754184525,positive,63.0727807
94.07333947,0.24278676938360158,positive,210.2846381
94.50242551,0.2118456703276356,positive,257.6866207
94.52096825,0.2811185907210025,positive,112.9748814
94.54378946,0.49797993228190574,positive,93.20035787
94.54619464,0.10073788722647938,positive,86.62430413
95.00307799,0.8162383247906264,positive,119.87694
95.01289505,0.515105372125216,positive,57.71576594
95.02413731,0.6925099881558241,positive,48.49315839
95.04399318,0.1138636845175584,positive,89.2525876
95.04929483,0.06584233782898773,positive,51.49470832
95.06050923,0.21992414206252878,positive,66.34208
95.08563336,0.6935890550843908,positive,24.59167892
95.08566145,0.8395550725309889,positive,81.15529786
95.50184988,0.5137578325707404,positive,239.4651706
95.54568467,0.2934363791504518,positive,90.98259639
96.00814331,0.010731612244199133,positive,27.34774821
96.00815092,0.06489916096576431,positive,192.5432318
96.04452896,0.09232614788972247,positive,68.02340266
96.04454012,0.647146415199335,positive,159.5618271
96.05263168,0.2722871398463305,positive,219.9722741
96.05264919,0.31969093374660057,positive,22.21336884
96.05576331,0.9190873930108172,positive,123.1665057
96.06389611,0.38829878428205034,positive,72.93275122
96.08092103,0.5393231584730511,positive,220.7606996
96.08093093,0.09169672059706166,positive,23.96240865
96.08900965,0.15062861300819955,positive,19.56484717
96.96103388,0.829369520961451,positive,260.5341525
97.00102224,0.15844644480807385,positive,92.84082598
97.02850152,0.5403118418047907,positive,255.5478718
97.03977244,0.4116610256826815,positive,87.74935995
97.04785545,0.1770187417710854,positive,225.9425549
97.06491771,0.4489858208801475,positive,58.72264706
97.07617284,0.3717215961924101,positive,206.6216374
97.07617331,0.023570969009400165,positive,69.24390356
97.10128686,0.1028516987595325,positive,22.819451
97.10130822,0.7465827650849535,positive,210.9004449
97.53387418,0.3987507902753117,positive,113.084548
97.99147001,0.6664797512585152,positive,111.6148967
98.00600997,0.17130467438356364,positive,58.54011376
98.01370086,0.13024219374838153,positive,231.1784273
98.02375645,0.45544139320935095,positive,224.3932542
98.0237874,0.05079163375403441,positive,60.50933345
98.03191313,0.43641445156946024,positive,209.9102934
98.0431169,0.34348476676694373,positive,220.7488748
98.06018424,0.22717792619480154,positive,171.8649139
98.06826022,0.18429810262958998,positive,235.5243974
98.06828308,0.14804126778890866,positive,117.8586076
98.07139643,0.6059015115876437,positive,208.1676744
98.07783597,0.32909063583860765,positive,49.45138893
98.09652391,0.9602186932921617,positive,256.6011642
98.09655036,0.0688963894083082,positive,63.09052514
98.5121795,0.7869806649118407,positive,209.9893324
98.96147041,0.46412032196270536,positive,121.1340605
98.9752978,0.33102829446190307,positive,99.46002887
98.9861308,0.10203251924768786,positive,113.1493684
98.99472287,0.9388293580638496,positive,244.8000433
99.0441231,0.1737048050568875,positive,258.703484
99.04414469,0.4288341940153171,positive,16.5976762
99.04418329,0.09109658925783085,positive,94.54693996
99.05541453,0.7323017443375457,positive,77.1346732
99.06348399,0.3215217951223513,positive,146.4460474
99.0635319,0.2649333152887353,positive,28.96352671
99.08050466,0.0650255228853832,positive,23.70491333
99.08056273,0.07957845095192839,positive,89.46048591
99.51231398,0.6520428966319531,positive,186.6109139
99.51233598,0.4512564735081551,positive,115.9837912
99.53118804,0.8792890641671954,positive,244.9748142
99.97999565,0.5382032172860667,positive,88.61020541
99.98755387,0.1689002873658822,positive,250.6370265
99.99574797,0.5941418971872618,positive,117.9094046
100.0112384,0.8310176509193898,positive,240.4914724
100.0139988,0.022240666066336887,positive,244.2788004
100.0216732,0.17045492547782642,positive,55.98421791
100.0244599,0.1742979744634713,positive,85.05525715
100.0394177,0.24738066249488685,positive,74.11172414
100.0506245,0.9999334872014151,positive,218.6308412
100.0582918,0.14897275789927397,positive,199.276813
100.0757883,0.5691779285225955,positive,159.9039944
100.0838872,0.1762581232805595,positive,221.9323221
100.1121584,0.4844503609500873,positive,26.66086345
100.5100667,0.03893184603827572,positive,222.6758439
100.9568527,0.14519214279047227,positive,249.8189512
100.9568745,0.9765888007986359,positive,78.18502594
100.981805,0.706117827476517,positive,90.89035488
100.9885207,0.8700173219010667,positive,218.2994183
101.0169448,0.3907435494608862,positive,50.40312768
101.0250584,0.21739616891300648,positive,181.5838593
101.0251865,0.24765186271121295,positive,72.46836294
101.027799,0.029846588976350157,positive,88.57169212
101.034654,0.1798539248022165,positive,61.99712861
101.0598255,0.9565248082330476,positive,62.9713219
101.0703279,0.22033454460333232,positive,61.68759036
101.0791475,0.9435812291760022,positive,31.2046472
101.0961818,0.13483751545858996,positive,214.5197407
101.1074551,0.25029009467442936,positive,77.610025
101.9499868,0.009841541990624817,positive,99.91011531
101.9770567,0.25183579255275623,positive,88.06765109
101.9843128,0.31078410644581594,positive,218.7163435
101.9843854,0.6245296504474673,positive,109.7322619
102.0174646,0.665967655370816,positive,58.18755602
102.0220243,0.18178329373147123,positive,88.89358164
102.0288484,0.8479247645604842,positive,96.18089952
102.0339659,0.4889098622464425,positive,111.2108174
102.0452561,0.11069692033354168,positive,242.8678542
102.0457852,0.6607809268263078,positive,64.30007505
102.0550772,0.03531420054844154,positive,63.64735287
102.0914017,0.6203894462345667,positive,214.4091782
102.1278145,0.11175836543327526,positive,214.9557926
102.5092364,0.5285847516126778,positive,252.2006837
102.5260061,0.14564747281362428,positive,118.5819506
102.5324344,0.8458760609578757,positive,230.151941
102.5355971,0.5497085676533084,positive,109.858284
102.9257299,0.22035464237684352,positive,127.4585165
102.9703332,0.592859851416242,positive,226.9750286
102.9703649,0.7244505491433111,positive,144.4908176
103.0319597,0.902867675321983,positive,229.6611438
103.031963,0.5393833266024226,positive,112.5633023
103.0341594,0.9195414855912027,positive,114.1786799
103.037311,0.27090024693314,positive,112.3489437
103.0390538,0.4141672884400107,positive,233.2455442
103.0413862,0.2081177999533051,positive,226.2266305
103.0414723,0.12596953961850024,positive,19.49682063
103.0521509,0.05587534534842713,positive,61.82816555
103.0543518,0.07156709792161053,positive,40.48708215
103.0584151,0.04057857775250668,positive,63.08772547
103.0754455,0.4347917907894878,positive,226.1411458
103.0769038,0.004280950824122397,positive,223.5638195
103.0948591,0.044448199941471846,positive,24.52350227
103.5076542,0.3465245091803473,positive,97.57539136
103.5076627,0.6761008550756934,positive,226.5548533
103.9556546,0.35588608284817114,positive,21.7282294
103.9556651,0.29595375808766655,positive,209.0409578
104.0303805,0.42870895787528085,positive,233.6681742
104.0303996,0.36260319740738123,positive,110.5080235
104.0422675,0.7050025604344421,positive,28.14099798
