m.z,p.value,mode,r.t
85.01080198,0.17654557054949008,positive,43.12046346
85.02851418,0.22117592862971935,positive,131.1573725
85.02852501,0.017163584650181387,positive,215.4608808
85.02854329,0.4327741591276,positive,63.34623454
85.04787871,0.37415168608308746,positive,68.4608309
85.05201349,0.2247882623562585,positive,71.17636835
85.06494461,0.7853836349613452,positive,80.64470557
85.084284,0.19552967538073596,positive,78.40802775
85.08869922,0.23931102764581952,positive,266.031149
85.32628627,0.04526849095008034,positive,24.50101995
85.51563778,0.09542167621479128,positive,248.2971442
85.51567761,0.41374551381261393,positive,112.9854964
85.63725449,0.008426813080058227,positive,284.8303226
85.96320509,0.3081461418405781,positive,111.6921501
86.06016135,0.19845507387242828,positive,216.9908456
86.0601925,0.10976060121722651,positive,52.56587214
86.07138983,1,positive,32.62311442
86.09671877,0.8840347039973031,positive,42.22890748
86.71689423,0.405052306368998,positive,49.69325932
86.71925557,0.008057803599675723,positive,27.46770454
86.72861901,0.33133276203866535,positive,26.61823396
86.77498772,0.006935384584525348,positive,28.3827768
86.90877707,0.00977577168780994,positive,44.40752206
86.93871212,1,positive,49.66331092
86.95269938,0.08316939630566271,positive,26.91373113
86.95589782,0.586068773739785,positive,113.8681489
86.96415111,0.9520797596465869,positive,113.6846589
87.02643287,0.2757348524589043,positive,46.42061899
87.04417962,0.034457823453646834,positive,193.1000976
87.04419351,6.071511097620796e-4,positive,40.66252833
87.05522898,0.4544588459177116,positive,72.87967592
87.06407399,0.5277033903501882,positive,28.83839792
87.07884117,0.45018884668652437,positive,72.4731411
87.09361168,0.28274006889418357,positive,42.87379649
87.09991092,0.8406110197932704,positive,42.67327625
87.10286239,0.7828562129357002,positive,43.71356718
87.16095117,0.9919130491688974,positive,44.90387877
87.17661615,0.17100570832175466,positive,27.21560269
87.2880934,0.45707803457365825,positive,27.28213184
87.40061656,0.5201415707696687,positive,28.12255519
87.51202939,0.9437251362952195,positive,27.58794018
88.02165936,0.37998105617866385,positive,222.8264241
88.02167949,0.23959685128264294,positive,45.91156728
88.02327606,0.9687715139874429,positive,113.385672
88.03944205,0.8629989516019106,positive,65.17186523
88.04753893,0.0042620572556985115,positive,232.0662358
88.05794721,0.5025395722728465,positive,64.11710971
88.07580684,0.0211062100393588,positive,118.4920157
88.08704467,0.4132449797019295,positive,65.19867606
88.10331057,0.3700456385646962,positive,43.83215286
88.50919687,0.13149142385549067,positive,221.3935791
88.95271267,0.5793858014044574,positive,261.9726165
88.95273811,0.426924226629364,positive,111.6500749
88.99312051,0.8233238407842529,positive,61.92352986
88.99316247,0.1410760436349951,positive,183.8848275
89.00842819,0.08148299983087444,positive,247.6802567
89.0250352,0.3630799286602233,positive,49.66374362
89.03873806,0.08852522197849655,positive,41.76443085
89.04266952,0.9224921424246704,positive,188.2798049
89.05978247,0.01515718338333275,positive,27.26995829
89.0598271,0.1904501056796408,positive,195.8624114
89.07918289,0.9658731588575344,positive,221.2268461
89.10746177,0.006277083526996963,positive,61.18429428
89.16516755,0.091285849560268445,positive,28.39944023
89.22065633,0.22716165718533068,positive,31.9108769
89.50688056,0.0633554580943273,positive,218.4804827
89.50688344,0.7990632083261446,positive,142.7711344
89.61936469,0.924829540416404,positive,26.23271908
89.73080335,0.9127257236039877,positive,26.14655909
89.82899886,0.35658911094857293,positive,24.47893584
89.84328457,0.5900182389615173,positive,26.60873664
89.95451416,0.45801397205898775,positive,26.38929714
90.00843588,0.176958633835645,positive,218.9096411
90.01748121,0.6908052979132566,positive,48.46228858
90.03709066,0.17661993022716346,positive,25.8191163
90.03733647,0.1442053211526192,positive,228.4639252
90.05060471,0.3647846305729434,positive,183.2134057
90.05508936,0.4114457152465847,positive,55.18832425
90.06712491,0.2805390834775379,positive,27.19462456
90.09142734,0.13494558418408453,positive,39.63974989
