m.z,p.value,mode,r.t
85.01080198,0.06329209916789207,positive,43.12046346
85.02851418,0.5555367084707157,positive,131.1573725
85.02852501,0.018251197875778783,positive,215.4608808
85.02854329,0.018781085109229798,positive,63.34623454
85.04787871,0.01954560697461334,positive,68.4608309
85.05201349,0.02984394854298888,positive,71.17636835
85.06494461,0.04265818825842528,positive,80.64470557
85.084284,0.022023826681784625,positive,78.40802775
85.08869922,0.015019877849322037,positive,266.031149
85.32628627,0.017520323056106693,positive,24.50101995
85.51563778,0.8749621478418632,positive,248.2971442
85.51567761,0.3717624857084134,positive,112.9854964
85.63725449,0.01880927514673301,positive,284.8303226
85.96320509,0.8290215453881055,positive,111.6921501
86.06016135,0.039105182715300627,positive,216.9908456
86.0601925,0.012333454787917713,positive,52.56587214
86.07138983,1,positive,32.62311442
86.09671877,0.05932112921739865,positive,42.22890748
86.71689423,0.3313327620386807,positive,49.69325932
86.71925557,8.274796159098895e-4,positive,27.46770454
86.72861901,1,positive,26.61823396
86.77498772,3.2863659091238325e-4,positive,28.3827768
86.90877707,0.0038517565978637117,positive,44.40752206
86.93871212,1,positive,49.66331092
86.95269938,4.997812504197733e-4,positive,26.91373113
86.95589782,0.2899511262418137,positive,113.8681489
86.96415111,0.9950442351530637,positive,113.6846589
87.02643287,0.5620151199034416,positive,46.42061899
87.04417962,0.0025261963452901603,positive,193.1000976
87.04419351,0.018525873017511366,positive,40.66252833
87.05522898,0.0918058330123104,positive,72.87967592
87.06407399,0.08335753398697354,positive,28.83839792
87.07884117,0.02485319256026639,positive,72.4731411
87.09361168,0.020264661950603103,positive,42.87379649
87.09991092,0.051216957631088265,positive,42.67327625
87.10286239,0.24517355535232596,positive,43.71356718
87.16095117,0.3313327620386781,positive,44.90387877
87.17661615,0.00415324972040362,positive,27.21560269
87.2880934,0.045873779253524004,positive,27.28213184
87.40061656,0.08918642783549113,positive,28.12255519
87.51202939,0.9357970928584998,positive,27.58794018
88.02165936,0.057520177945789536,positive,222.8264241
88.02167949,0.42667527876714495,positive,45.91156728
88.02327606,0.6402905608521801,positive,113.385672
88.03944205,0.019383421073684355,positive,65.17186523
88.04753893,0.006506759807792928,positive,232.0662358
88.05794721,0.012764837536291651,positive,64.11710971
88.07580684,0.41935419489017123,positive,118.4920157
88.08704467,0.003915213994479882,positive,65.19867606
88.10331057,0.021779229373299784,positive,43.83215286
88.50919687,0.7652995781579175,positive,221.3935791
88.95271267,0.5010581465104118,positive,261.9726165
88.95273811,0.3511469817192493,positive,111.6500749
88.99312051,0.7191337865515945,positive,61.92352986
88.99316247,0.012101302494304298,positive,183.8848275
89.00842819,0.35296608379000016,positive,247.6802567
89.0250352,0.11825641974195811,positive,49.66374362
89.03873806,0.015308815169225162,positive,41.76443085
89.04266952,0.9247523048252044,positive,188.2798049
89.05978247,0.0017012544648087615,positive,27.26995829
89.0598271,0.1539120802730875,positive,195.8624114
89.07918289,0.37606704500401067,positive,221.2268461
89.10746177,2.9012959823988127e-4,positive,61.18429428
89.16516755,0.004253418631710121,positive,28.39944023
89.22065633,0.04185962231750765,positive,31.9108769
89.50688056,0.03543399879479945,positive,218.4804827
89.50688344,0.15476591889471733,positive,142.7711344
89.61936469,0.48341977777931844,positive,26.23271908
89.73080335,0.23610810471020136,positive,26.14655909
89.82899886,0.013288783719066829,positive,24.47893584
