m.z,p.value,mode,r.t
85.02851418,0.2209338213477362,positive,131.1573725
85.02852501,1.4962588358983062e-6,positive,215.4608808
85.02854329,9.366602736519129e-9,positive,63.34623454
85.04787871,1.593632526101296e-8,positive,68.4608309
85.06494461,3.117740776095501e-4,positive,80.64470557
85.084284,2.0405272477441436e-5,positive,78.40802775
85.51563778,0.5357927614587354,positive,248.2971442
85.51567761,0.0017731336451495695,positive,112.9854964
85.96320509,0.7806166710999861,positive,111.6921501
86.06016135,8.624636376671907e-4,positive,216.9908456
86.0601925,5.249118005413278e-9,positive,52.56587214
86.09671877,3.534272055011667e-6,positive,42.22890748
86.90877707,9.283180642127644e-10,positive,44.40752206
87.02643287,0.06873409508096465,positive,46.42061899
87.04417962,3.6269319372968726e-5,positive,193.1000976
87.04419351,9.410071654133098e-6,positive,40.66252833
87.05522898,9.191413629117759e-6,positive,72.87967592
87.09991092,2.851315414122433e-6,positive,42.67327625
88.02165936,0.18321742425546583,positive,222.8264241
88.02167949,0.44687588089733576,positive,45.91156728
88.02327606,0.7206551519707383,positive,113.385672
88.03944205,1.3657496707158547e-6,positive,65.17186523
88.05794721,0.0013854752936804495,positive,64.11710971
88.07580684,0.0023561058261806645,positive,118.4920157
88.50919687,0.5555932127599632,positive,221.3935791
88.95271267,0.0680977639323137,positive,261.9726165
88.95273811,0.04862788892932219,positive,111.6500749
88.99312051,0.01407995224503241,positive,61.92352986
88.99316247,0.018871063659964844,positive,183.8848275
89.00842819,1.907716167976058e-4,positive,247.6802567
89.04266952,0.8196873845583906,positive,188.2798049
89.05978247,7.147429667145042e-12,positive,27.26995829
89.0598271,0.023021353908638558,positive,195.8624114
89.07918289,0.38654933940388514,positive,221.2268461
89.50688056,0.593219962108835,positive,218.4804827
89.50688344,0.4358461445879268,positive,142.7711344
90.00843588,0.7779260005074002,positive,218.9096411
90.03709066,0.015385935436859104,positive,25.8191163
90.03733647,0.4432431609838364,positive,228.4639252
90.05060471,0.6915626204959069,positive,183.2134057
90.05508936,8.556784855103524e-9,positive,55.18832425
90.09142734,1.7652072145011675e-5,positive,39.63974989
90.50709993,0.6544163946927797,positive,120.6064415
90.52624909,9.186734515990866e-4,positive,111.4854188
90.94783596,1.930837225920884e-4,positive,246.632256
90.97677303,0.025446329822835453,positive,52.84493238
91.0059775,0.7636322794468516,positive,240.2764541
91.00875319,0.9955053069917366,positive,240.7072369
91.0240607,0.09324618779631917,positive,246.0172789
91.02417098,2.3476834345437047e-4,positive,112.6591018
91.02768386,0.7645223549588572,positive,227.8057012
91.02918592,0.09731333204033484,positive,219.1367037
91.03986115,7.933487000226473e-5,positive,46.33493334
91.05436396,2.742948654849337e-5,positive,42.20327484
91.05750173,0.3815281200770705,positive,214.079484
91.05782113,7.68562896934687e-4,positive,26.67542853
91.50479097,0.0034687971870985745,positive,246.0100627
91.52402494,4.315730408018675e-4,positive,114.0134644
91.52854739,0.46491063345572303,positive,117.7543492
91.78501284,9.709517279177555e-5,positive,142.8405987
92.02586347,0.6821830426561164,positive,117.9634622
92.03705676,0.007745223228127617,positive,88.59077488
92.05773444,0.15896632871534006,positive,52.71882924
92.05774271,0.5785409776779216,positive,214.0898366
92.50359531,0.24882584728686577,positive,238.9458005
92.52243012,0.6615278500902424,positive,235.2480047
93.02415079,0.6144830217243973,positive,118.4238333
93.03679256,0.5835211817382127,positive,221.2578289
93.04040176,0.12873913045863342,positive,220.6811079
93.04487893,4.2588071840203525e-7,positive,74.0369443
93.07003733,0.8324619052802738,positive,182.8403341
93.50398409,0.12804572148916865,positive,265.294459
93.98424874,0.0202644377630384,positive,111.4945109
94.00562802,0.9408263879969834,positive,102.2284692
94.0401222,0.3628980819129727,positive,207.6449449
94.04013541,0.0025685521224032715,positive,18.71977816
94.04523059,5.13418730493966e-11,positive,89.29390412
94.06527834,6.0496868113929085e-6,positive,63.0727807
94.07333947,0.14020932588664473,positive,210.2846381
94.50242551,0.7739156413565247,positive,257.6866207
94.52096825,0.004610477334683003,positive,112.9748814
94.54378946,0.009224590346091951,positive,93.20035787
94.54619464,4.388039401867519e-11,positive,86.62430413
95.00307799,0.2072776651582065,positive,119.87694
95.01289505,0.05486607041658466,positive,57.71576594
95.02413731,0.008919817985534886,positive,48.49315839
95.04399318,6.888558377022016e-11,positive,89.2525876
95.04929483,0.047096501980571456,positive,51.49470832
95.06050923,1.4422091014452726e-8,positive,66.34208
95.08563336,0.631348362317674,positive,24.59167892
95.08566145,0.024842044461553543,positive,81.15529786
95.50184988,0.03648408133679302,positive,239.4651706
95.54568467,4.282336349206159e-7,positive,90.98259639
96.00814331,1.6616116917086378e-9,positive,27.34774821
96.00815092,2.9679923329757956e-5,positive,192.5432318
96.04452896,0.05049099853866053,positive,68.02340266
96.04454012,0.7613691491643981,positive,159.5618271
96.05263168,0.5927282492068047,positive,219.9722741
96.05264919,0.2140513818596337,positive,22.21336884
96.05576331,0.016815087844832072,positive,123.1665057
96.06389611,0.03168715562049421,positive,72.93275122
96.08092103,0.6333361444706196,positive,220.7606996
96.08093093,0.08722232183082067,positive,23.96240865
96.08900965,3.951874339190483e-6,positive,19.56484717
96.96103388,0.004409277508487681,positive,260.5341525
97.00102224,5.6988794945142415e-9,positive,92.84082598
97.02850152,0.14531919598074935,positive,255.5478718
97.03977244,0.5672941497459588,positive,87.74935995
97.04785545,0.9333218482310899,positive,225.9425549
