m.z,p.value,mode,r.t
85.01080198,6.914010462267576e-6,positive,43.12046346
85.02851418,0.2209338213477362,positive,131.1573725
85.02852501,1.4962588358983062e-6,positive,215.4608808
85.02854329,9.366602736519129e-9,positive,63.34623454
85.04787871,1.593632526101296e-8,positive,68.4608309
85.05201349,2.2568308133734432e-10,positive,71.17636835
85.06494461,3.117740776095501e-4,positive,80.64470557
85.084284,2.0405272477441436e-5,positive,78.40802775
85.08869922,0.0012896935491720884,positive,266.031149
85.32628627,2.572099267211562e-7,positive,24.50101995
85.51563778,0.5357927614587354,positive,248.2971442
85.51567761,0.0017731336451495695,positive,112.9854964
85.63725449,2.574870030947621e-4,positive,284.8303226
85.96320509,0.7806166710999861,positive,111.6921501
86.06016135,8.624636376671907e-4,positive,216.9908456
86.0601925,5.249118005413278e-9,positive,52.56587214
86.07138983,1,positive,32.62311442
86.09671877,3.534272055011667e-6,positive,42.22890748
86.71689423,0.37301496683867497,positive,49.69325932
86.71925557,1.3273276126699555e-9,positive,27.46770454
86.72861901,0.3245871274888241,positive,26.61823396
86.77498772,2.0517085550426782e-10,positive,28.3827768
86.90877707,9.283180642127644e-10,positive,44.40752206
86.93871212,1,positive,49.66331092
86.95269938,2.1405290937646007e-27,positive,26.91373113
86.95589782,0.23482621625887973,positive,113.8681489
86.96415111,0.8435340411360946,positive,113.6846589
87.02643287,0.06873409508096465,positive,46.42061899
87.04417962,3.6269319372968726e-5,positive,193.1000976
87.04419351,9.410071654133098e-6,positive,40.66252833
87.05522898,9.191413629117759e-6,positive,72.87967592
87.06407399,1.0836745010243451e-9,positive,28.83839792
87.07884117,5.017887041138966e-4,positive,72.4731411
87.09361168,4.821305007367749e-6,positive,42.87379649
87.09991092,2.851315414122433e-6,positive,42.67327625
87.10286239,0.0015741022218089865,positive,43.71356718
87.16095117,0.1135625545344445,positive,44.90387877
87.17661615,9.940822312205532e-22,positive,27.21560269
87.2880934,8.024476638621435e-12,positive,27.28213184
87.40061656,4.781063785972836e-15,positive,28.12255519
87.51202939,2.5363997207585902e-6,positive,27.58794018
88.02165936,0.18321742425546583,positive,222.8264241
88.02167949,0.44687588089733576,positive,45.91156728
88.02327606,0.7206551519707383,positive,113.385672
88.03944205,1.3657496707158547e-6,positive,65.17186523
