m.z,p.value,mode,r.t
85.02851418,0.2946440812662739,positive,131.1573725
85.02852501,3.325524771163394e-6,positive,215.4608808
85.02854329,3.1230002444910137e-9,positive,63.34623454
85.04787871,2.002651594603838e-9,positive,68.4608309
85.06494461,1.3291555532643276e-4,positive,80.64470557
85.084284,3.6649465070034217e-6,positive,78.40802775
85.51563778,0.8440677401469059,positive,248.2971442
85.51567761,0.0029683336756466507,positive,112.9854964
85.96320509,0.799298761142713,positive,111.6921501
86.06016135,9.516636441756692e-4,positive,216.9908456
86.0601925,1.3373829745112847e-7,positive,52.56587214
86.09671877,1.1723785901298221e-8,positive,42.22890748
86.90877707,1.2421035056392805e-8,positive,44.40752206
87.02643287,0.004340768681461016,positive,46.42061899
87.04417962,4.2419867507121925e-05,positive,193.1000976
87.04419351,7.842423536701527e-4,positive,40.66252833
87.05522898,4.541766962599819e-7,positive,72.87967592
87.09991092,9.62856044519242e-9,positive,42.67327625
88.02165936,0.615838404493506,positive,222.8264241
88.02167949,0.7727180542533844,positive,45.91156728
88.02327606,0.30122607741298396,positive,113.385672
88.03944205,2.3107919524691063e-7,positive,65.17186523
88.05794721,3.3704230433979893e-4,positive,64.11710971
88.07580684,0.02216224566366182,positive,118.4920157
88.50919687,0.6064548698821834,positive,221.3935791
88.95271267,0.010315117414007494,positive,261.9726165
88.95273811,0.03743210701310594,positive,111.6500749
88.99312051,9.52742655172384e-4,positive,61.92352986
88.99316247,0.027419764748226685,positive,183.8848275
89.00842819,0.0010396066718858573,positive,247.6802567
89.04266952,0.4338381156413841,positive,188.2798049
89.05978247,1.615182789496014e-9,positive,27.26995829
89.0598271,0.03314295550702926,positive,195.8624114
89.07918289,0.051662615805350726,positive,221.2268461
89.50688056,0.7674698284769609,positive,218.4804827
89.50688344,0.11087498046870072,positive,142.7711344
90.00843588,0.4075401379128104,positive,218.9096411
90.03709066,0.06653274597959463,positive,25.8191163
90.03733647,0.40325471855795014,positive,228.4639252
90.05060471,0.6228820223885406,positive,183.2134057
90.05508936,6.036693392343706e-8,positive,55.18832425
90.09142734,1.7560277807441188e-4,positive,39.63974989
90.50709993,0.7090715990591023,positive,120.6064415
90.52624909,6.00198171936533e-4,positive,111.4854188
90.94783596,2.28194100398452e-5,positive,246.632256
90.97677303,0.1153954946851559,positive,52.84493238
91.0059775,0.4610519533183147,positive,240.2764541
91.00875319,0.9708674229119925,positive,240.7072369
91.0240607,0.1327957433811622,positive,246.0172789
91.02417098,3.5154561461198585e-4,positive,112.6591018
91.02768386,0.8640722075247309,positive,227.8057012
91.02918592,0.016867407672659426,positive,219.1367037
91.03986115,7.769412123927302e-5,positive,46.33493334
91.05436396,5.458674901559394e-7,positive,42.20327484
91.05750173,0.038055956032093455,positive,214.079484
91.05782113,0.016168262645477244,positive,26.67542853
91.50479097,3.131966091422462e-4,positive,246.0100627
91.52402494,7.425142531831396e-4,positive,114.0134644
91.52854739,0.5091838786840133,positive,117.7543492
91.78501284,1.810081062950434e-5,positive,142.8405987
92.02586347,0.8093306492401235,positive,117.9634622
92.03705676,7.717739405859831e-4,positive,88.59077488
92.05773444,0.04221977687031484,positive,52.71882924
92.05774271,0.9809983664270661,positive,214.0898366
92.50359531,0.02568595190980899,positive,238.9458005
92.52243012,0.38673120068292854,positive,235.2480047
