"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Histidine metabolism","16","16","15","12.45","0.00065587","0.0017084",NA,"100","1","0.04394329","0.1144628",NA,"P1","EC000866;EC000867;EC000540;EC000542;EC000543;EC000152;EC000154;EC000366;EC000941;EC000942;EC000939;EC0001074;EC000374;EC000650;EC000626;EC000405;EC000573;EC000574;EC000198;EC0001076;EC0001078;EC00037;EC00039"
"Biosynthesis of unsaturated fatty acids","36","22","12","8.5439","0.001228","0.0036337",NA,"0","0","0.081048","0.2398242",NA,"P2","EC000251;EC000252;EC000705;EC000707;EC000529;EC000530;EC000720;EC000721;EC000229;EC000230;EC000832;EC0001141;EC0001142;EC0001146;EC0001147;EC0001143;EC000949"
"Fatty acid biosynthesis","9","7","6","4.394","0.014594","0.044861",NA,"17","0.17","0.94861","1",NA,"P3","EC000251;EC000252;EC000194;EC0001137;EC0001138;EC000801;EC000802;EC000714;EC0001135"
"beta-Alanine metabolism","21","14","9","8.0557","0.035009","0.074373",NA,"100","1","1","1",NA,"P4","EC00037;EC00039;EC000177;EC000396;EC000366;EC000573;EC000574;EC000958;EC000107;EC000108;EC000960;EC000152;EC000154"
"Fatty acid degradation","35","13","5","3.6617","0.046247","0.12635",NA,"0","0","1","1",NA,"P5","EC000738;EC000798;EC000251;EC000252;EC000820;EC000821;EC000949"
"Arginine biosynthesis","14","12","6","6.8351","0.051827","0.11006",NA,"100","1","1","1",NA,"P6","EC00053;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC00057;EC000486;EC000487"
"Primary bile acid biosynthesis","46","32","29","10.985","0.053388","0.097853",NA,"0","0","1","1",NA,"P7","EC000207;EC000863;EC000725;EC000712;EC000978;EC000975;EC000247;EC000981;EC000695;EC0001343;EC000525;EC000983;EC000916;EC0001348;EC000743;EC000744"
"Fatty acid elongation","28","9","4","2.4411","0.067197","0.2009",NA,"0","0","1","1",NA,"P8","EC000949;EC000798;EC000738;EC000251;EC000252"
"alpha-Linolenic acid metabolism","12","5","2","2.4411","0.067197","0.2009",NA,"0","0","1","1",NA,"P9","EC0001141;EC0001142;EC0001267;EC0001268;EC0001269"
"Phenylalanine metabolism","8","8","5","5.6146","0.077444","0.16425",NA,"100","1","1","1",NA,"P10","EC00078;EC00079;EC000955;EC000877;EC000879;EC000504;EC000505;EC00081;EC00082"
"Linoleic acid metabolism","4","4","4","3.4176","0.095167","0.22924",NA,"0","0","1","1",NA,"P11","EC000720;EC000721;EC0001235;EC0001236;EC0001237;EC000914"
"Porphyrin metabolism","29","10","5","4.6381","0.14934","0.29467",NA,"0","0","1","1",NA,"P12","EC0001151;EC000445;EC000635;EC000582;EC000583;EC000584;EC000586"
"Steroid hormone biosynthesis","87","77","36","15.379","0.15782","0.23366",NA,"0","0","1","1",NA,"P13","EC000207;EC000863;EC000978;EC000990;EC000988;EC000452;EC000453;EC000656;EC000758;EC000991;EC000993;EC000424;EC000593;EC000944;EC000892;EC0001354;EC000989;EC000999;EC0001000"
"Retinol metabolism","16","16","13","3.9058","0.165","0.33407",NA,"0","0","1","1",NA,"P14","EC000425;EC000359;EC000536;EC000537;EC0001254;EC0001335"
"Steroid biosynthesis","40","33","20","6.3469","0.27482","0.43754",NA,"0","0","1","1",NA,"P15","EC000654;EC000936;EC000712;EC000207;EC000933;EC000725;EC0001409;EC0001343"
"Lysine degradation","21","14","9","9.2762","0.29433","0.43047",NA,"100","1","1","1",NA,"P16","EC00035;EC000413;EC000417;EC000601;EC00064;EC0001338;EC000377;EC000378;EC000664;EC000421;EC000684"
"Vitamin B6 metabolism","9","9","5","4.6381","0.29727","0.49468",NA,"100","1","1","1",NA,"P17","EC0001122;EC000296;EC000253;EC000256;EC000457;EC000565"
"Thiamine metabolism","5","3","2","1.2206","0.34785","0.74725",NA,"100","1","1","1",NA,"P18","EC000101;EC00064"
"Tryptophan metabolism","41","35","18","20.505","0.36264","0.45763",NA,"100","1","1","1",NA,"P19","EC00076;EC00077;EC000538;EC000539;EC0001036;EC0001040;EC000829;EC000507;EC000886;EC000887;EC000310;EC000311;EC000312;EC000495;EC000498;EC0001051;EC0001044;EC0001045;EC0001059;EC000768;EC000682;EC0001134"
"Biotin metabolism","4","3","2","2.197","0.3736","0.67617",NA,"0","0","1","1",NA,"P20","EC0001090;EC0001091;EC00035"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","5","2","3.1734","0.38493","0.63784",NA,"100","1","1","1",NA,"P21","EC000185;EC000186;EC00081;EC00082"
"Terpenoid backbone biosynthesis","14","7","4","4.1499","0.39091","0.61236",NA,"22","0.22","1","1",NA,"P22","EC000385;EC000386;EC000648;EC000641;EC0001375"
"Pantothenate and CoA biosynthesis","18","15","9","10.253","0.43248","0.57349",NA,"45","0.45","1","1",NA,"P23","EC000560;EC000569;EC000177;EC000396;EC000203;EC00037;EC00039;EC000850;EC000101;EC000107;EC000108"
"D-Amino acid metabolism","15","15","9","8.2998","0.43669","0.59387",NA,"100","1","1","1",NA,"P24","EC00057;EC00037;EC00039;EC00063;EC00053;EC000172;EC000741;EC000742;EC000881"
"Nicotinate and nicotinamide metabolism","15","14","8","7.3233","0.43882","0.60632",NA,"100","1","1","1",NA,"P25","EC00037;EC00039;EC0001080;EC000666;EC000828;EC000181;EC000259;EC0001084"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","2","3.4176","0.4464","0.69074",NA,"100","1","1","1",NA,"P26","EC00078;EC00079;EC00081;EC00082"
"Sphingolipid metabolism","11","11","6","4.6381","0.49761","0.70538",NA,"0","0","1","1",NA,"P27","EC0001123;EC000564;EC000299;EC00063;EC0001212"
"Arachidonic acid metabolism","43","43","27","9.7645","0.5076","0.65106",NA,"0","0","1","1",NA,"P28","EC000920;EC000922;EC000229;EC000230;EC000760;EC000499;EC000501;EC000910;EC0001108;EC0001105"
"Metabolism of xenobiotics by cytochrome P450","68","41","17","15.135","0.54272","0.65599",NA,"3","0.03","1","1",NA,"P29","EC0001227;EC0001128;EC0001129;EC0001233;EC0001369;EC0001153;EC000558;EC0001253;EC000825;EC000682;EC0001370;EC0001371;EC0001366;EC0001204;EC0001362"
"Propanoate metabolism","19","10","5","4.8822","0.54833","0.74538",NA,"43","0.43","1","1",NA,"P30","EC000113;EC000117;EC0001114;EC000636;EC00064"
"Glycerolipid metabolism","7","6","2","2.9293","0.5812","0.82362",NA,"100","1","1","1",NA,"P31","EC00095;EC00096;EC000266"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","4","3","1","1.9529","0.61032","0.88955",NA,"100","1","1","1",NA,"P32","EC000251;EC000252"
