"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Arachidonic acid metabolism","43","43","42","15.218","0.00032712","0.00098776","0.029827","0","0","0.02191704","0.06617992","1","P1","EC000921;EC000922;EC000228;EC000229;EC000230;EC000760;EC000761;EC0001110;EC0001112;EC0001113;EC000576;EC000577;EC000578;EC000390;EC000391;EC000499;EC000500;EC000501;EC000503;EC000909;EC000910;EC0001225;EC0001107;EC0001108;EC0001104;EC0001105"
"Histidine metabolism","16","16","14","19.403","0.0076649","0.015811","0.030343","100","1","0.5058834","1","1","P2","EC00020;EC000866;EC000867;EC000540;EC000542;EC000152;EC000154;EC000366;EC000367;EC000368;EC000939;EC0001070;EC0001074;EC000372;EC000373;EC000374;EC000651;EC000653;EC000405;EC000407;EC000573;EC000574;EC000199;EC000200;EC0001076;EC0001077;EC00038;EC00039"
"D-Amino acid metabolism","15","15","14","12.935","0.021271","0.045601","0.031324","100","1","1","1","1","P3","EC00058;EC00020;EC00038;EC00039;EC00060;EC00054;EC000169;EC000170;EC000172;EC000397;EC000399;EC000740;EC000741;EC000742;EC00027;EC000880;EC000881;EC000859;EC000861"
"Glutathione metabolism","19","13","8","10.652","0.026223","0.058765","0.031689","100","1","1","1","1","P4","EC00040;EC00041;EC00042;EC000145;EC000515;EC000516;EC000517;EC000518;EC00020;EC000701;EC000702;EC000740;EC000741;EC000742;EC000298;EC0001290"
"beta-Alanine metabolism","21","14","12","12.555","0.033121","0.06781","0.032206","100","1","1","1","1","P5","EC000206;EC00028;EC00038;EC00039;EC000175;EC000393;EC000366;EC000367;EC000368;EC000573;EC000574;EC000958;EC000107;EC000960;EC000961;EC000152;EC000154;EC000298"
"Linoleic acid metabolism","4","4","4","5.3262","0.038028","0.10689","0.03258","0","0","1","1","1","P6","EC000718;EC000719;EC000720;EC000721;EC0001234;EC0001236;EC0001237;EC000914;EC000915"
"Arginine biosynthesis","14","12","9","10.652","0.059708","0.11854","0.034286","100","1","1","1","1","P7","EC00020;EC00054;EC000400;EC000401;EC000837;EC000838;EC000839;EC00038;EC00039;EC000308;EC000309;EC00058;EC000486;EC000487;EC000139"
"Retinol metabolism","16","16","13","6.0871","0.099205","0.21502","0.037648","0","0","1","1","1","P8","EC000425;EC000426;EC000359;EC000360;EC000757;EC000536;EC000537;EC0001334;EC0001335"
"Glycerolipid metabolism","7","6","5","4.5653","0.1173","0.2693","0.039306","100","1","1","1","1","P9","EC00095;EC000206;EC000266;EC000119;EC000120;EC000121;EC000122"
"Fructose and mannose metabolism","20","19","10","11.413","0.19567","0.31155","0.047469","98","0.98","1","1","1","P10","EC000549;EC000341;EC00099;EC000119;EC000120;EC000121;EC000122;EC000206;EC000612;EC000613;EC000614;EC000306;EC000888;EC000889"
