"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Amino sugar and nucleotide sugar metabolism","39","38","37","43.334","0.00086106","0.0026566","0.027017","0","0","0.05941314","0.1833054","1","P1","EC000155;EC000156;EC000157;EC000348;EC000349;EC00033;EC0001116;EC0001117;EC0001118;EC000272;EC000273;EC000275;EC00086;EC00087;EC00088;EC00022;EC000338;EC000339;EC000340;EC00098;EC00099;EC00023;EC00024;EC00025;EC000306;EC000817;EC000818;EC000819;EC000612;EC000613;EC000614;EC000840;EC000841;EC000728;EC000729;EC000314;EC000315;EC000316;EC000317;EC000280;EC0001385;EC000281;EC000146;EC000147;EC000210;EC000211;EC000869;EC000870;EC000871;EC000148;EC0001398;EC0001399;EC0001400"
"Arginine biosynthesis","14","12","12","20.565","0.0075779","0.028132","0.027455","100","1","0.5152972","1","1","P2","EC00019;EC00020;EC00053;EC00054;EC000400;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000488;EC000139;EC000140"
"Arachidonic acid metabolism","43","43","43","29.379","0.018513","0.045921","0.028184","0","0","1","1","1","P3","EC000920;EC000921;EC000922;EC000923;EC000228;EC000229;EC000230;EC000760;EC000761;EC000762;EC0001110;EC0001112;EC0001113;EC000576;EC000577;EC000578;EC000579;EC000763;EC000764;EC000390;EC000391;EC000392;EC000499;EC000500;EC000501;EC000503;EC000909;EC000910;EC0001225;EC0001226;EC0001107;EC0001108;EC0001109;EC0001104;EC0001105"
"Pyrimidine metabolism","39","37","35","60.227","0.032167","0.055816","0.029124","0","0","1","1","1","P4","EC0008;EC00057;EC00058;EC00059;EC000195;EC000326;EC000639;EC000106;EC00072;EC000286;EC000287;EC000288;EC000393;EC000394;EC000395;EC000396;EC000175;EC000176;EC000177;EC00056;EC000123;EC000124;EC00044;EC00045;EC00046;EC00047;EC000427;EC000428;EC000528;EC000242;EC000243;EC000244;EC000570;EC000571;EC000423;EC000700;EC000454;EC000353;EC000354;EC000224;EC000225;EC000226;EC000227;EC000199;EC000200;EC0001394;EC0001395;EC0001396;EC0001188;EC0001189;EC000402;EC000403;EC000404;EC000284;EC000132;EC000107;EC000108;EC000110;EC00028;EC00029;EC000523;EC000524;EC000322;EC000323;EC000324;EC000325;EC0001190"
"Histidine metabolism","16","16","16","37.458","0.03348","0.067791","0.029217","100","1","1","1","1","P5","EC00019;EC00020;EC000866;EC000867;EC000868;EC000540;EC000541;EC000542;EC000543;EC000152;EC000154;EC000366;EC000367;EC000368;EC000941;EC000942;EC000939;EC0001070;EC0001071;EC0001073;EC0001074;EC000372;EC000373;EC000374;EC000650;EC000651;EC000653;EC000626;EC000405;EC000406;EC000407;EC000408;EC000409;EC000573;EC000574;EC000199;EC000200;EC0001075;EC0001076;EC0001077;EC0001078;EC00037;EC00039"
"Taurine and hypotaurine metabolism","8","6","6","11.752","0.040129","0.13829","0.029688","100","1","1","1","1","P6","EC000446;EC000450;EC000451;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC000247;EC000248;EC0001085;EC0001086;EC0001087;EC0001088"
"Primary bile acid biosynthesis","46","32","32","33.051","0.043289","0.088131","0.029915","0","0","1","1","1","P7","EC000207;EC000863;EC000864;EC000725;EC000726;EC000709;EC000710;EC000712;EC000713;EC000976;EC000977;EC000978;EC000979;EC000975;EC000792;EC000793;EC000794;EC000795;EC000247;EC000248;EC000981;EC000696;EC0001343;EC0001344;EC0001345;EC000525;EC000526;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001348;EC000743;EC000744"
"D-Amino acid metabolism","15","15","15","24.972","0.060852","0.12922","0.031211","100","1","1","1","1","P8","EC00057;EC00058;EC00059;EC00019;EC00020;EC00037;EC00039;EC00060;EC00061;EC00062;EC00063;EC00053;EC00054;EC00073;EC00074;EC000169;EC000170;EC000172;EC000397;EC000399;EC000739;EC000740;EC000741;EC000742;EC00027;EC000880;EC000881;EC000859;EC000861"
"Linoleic acid metabolism","4","4","4","10.283","0.068624","0.21122","0.031804","0","0","1","1","1","P9","EC000718;EC000719;EC000720;EC000721;EC0001234;EC0001235;EC0001236;EC0001237;EC0001238;EC000912;EC000913;EC000914;EC000915"
"Sphingolipid metabolism","11","11","10","13.955","0.071071","0.18575","0.031993","0","0","1","1","1","P10","EC0001123;EC0001124;EC000564;EC000299;EC000300;EC000182;EC00060;EC00061;EC00062;EC00063;EC000732;EC0001212;EC000333;EC000334;EC000335;EC000336;EC000337"
