"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"beta-Alanine metabolism","21","14","13","16.206","0.00030711","0.0011221","0.029027","49","0.49","0.02088348","0.0763028","1","P1","EC000206;EC00018;EC00028;EC00029;EC00037;EC00039;EC000175;EC000176;EC000177;EC000393;EC000394;EC000396;EC000366;EC000367;EC000368;EC000573;EC000574;EC000958;EC000107;EC000108;EC000109;EC000960;EC000961;EC000152;EC000154;EC000298"
"Histidine metabolism","16","16","16","25.045","0.0024451","0.0056715","0.029173","100","1","0.1638217","0.3799905","1","P2","EC00019;EC00020;EC000866;EC000867;EC000868;EC000540;EC000541;EC000542;EC000543;EC000152;EC000154;EC000366;EC000367;EC000368;EC000942;EC000939;EC0001071;EC0001073;EC0001074;EC000373;EC000374;EC000651;EC000653;EC000626;EC000405;EC000407;EC000573;EC000574;EC000199;EC000200;EC0001076;EC0001077;EC0001078;EC00037;EC00039"
"Selenocompound metabolism","16","5","5","2.9465","0.012791","0.094444","0.029891","0","0","0.844206","1","1","P3","EC0001063;EC0001064;EC0001065;EC00028;EC00029;EC0001357"
"D-Amino acid metabolism","15","15","14","16.697","0.017672","0.039271","0.030237","100","1","1","1","1","P4","EC00057;EC00019;EC00020;EC00037;EC00039;EC00060;EC00063;EC00073;EC00074;EC000169;EC000170;EC000397;EC000398;EC000399;EC000739;EC000740;EC000741;EC00027;EC000880;EC000881;EC000859;EC000860;EC000861"
"Arachidonic acid metabolism","43","43","42","19.643","0.024381","0.048967","0.030719","0","0","1","1","1","P5","EC000920;EC000921;EC000922;EC000923;EC000229;EC000230;EC000760;EC000761;EC000762;EC0001110;EC0001113;EC000576;EC000578;EC000579;EC000763;EC000390;EC000391;EC000499;EC000500;EC000501;EC0001225;EC0001226;EC0001107;EC0001108;EC0001104;EC0001105"
"Pantothenate and CoA biosynthesis","18","15","14","20.625","0.026588","0.051973","0.030879","0","0","1","1","1","P6","EC000646;EC000560;EC000561;EC000568;EC000569;EC000175;EC000176;EC000177;EC000393;EC000394;EC000396;EC000203;EC00037;EC00039;EC0007;EC000849;EC000851;EC000100;EC000101;EC00028;EC00029;EC000107;EC000108;EC000109;EC000159;EC000160;EC0006"
"Arginine biosynthesis","14","12","10","13.75","0.066118","0.1296","0.03391","100","1","1","1","1","P7","EC00019;EC00020;EC000400;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000195;EC00073;EC00074;EC00057;EC00021;EC000486;EC000487"
"Pyrimidine metabolism","39","37","31","40.268","0.094479","0.13586","0.036282","0","0","1","1","1","P8","EC0008;EC00057;EC000195;EC000105;EC000106;EC00072;EC000286;EC000287;EC000393;EC000394;EC000396;EC000175;EC000176;EC000177;EC00056;EC000123;EC000124;EC00045;EC00046;EC00047;EC000428;EC000243;EC000570;EC000423;EC000700;EC000454;EC000353;EC000354;EC000227;EC000199;EC000200;EC0001394;EC0001395;EC0001188;EC000402;EC000285;EC000132;EC000107;EC000108;EC000109;EC00028;EC00029;EC000322;EC000323;EC000325;EC0001190"
"Biosynthesis of unsaturated fatty acids","36","22","13","17.188","0.11246","0.1897","0.037879","0","0","1","1","1","P9","EC000449;EC000770;EC000251;EC000252;EC000705;EC000707;EC000529;EC000530;EC000718;EC000719;EC000720;EC000721;EC000229;EC000230;EC000832;EC0001141;EC0001142;EC0001146;EC0001147;EC0001143;EC0001144"
"Butanoate metabolism","15","9","9","11.786","0.11829","0.21835","0.038412","100","1","1","1","1","P10","EC000636;EC000113;EC000114;EC000116;EC000118;EC000322;EC000323;EC000325;EC00019;EC00020;EC000249;EC00021;EC00032;EC000771;EC000772"
"Alanine, aspartate and glutamate metabolism","28","27","23","33.393","0.12874","0.18522","0.03939","100","1","1","1","1","P11","EC000623;EC00037;EC00039;EC000175;EC000176;EC000177;EC000836;EC000837;EC000838;EC000839;EC00028;EC00029;EC000113;EC000114;EC000116;EC000118;EC00019;EC00020;EC000322;EC000323;EC000325;EC00057;EC000587;EC000588;EC000859;EC000860;EC000861;EC0001217;EC0001383;EC000188;EC00027;EC00018;EC000402;EC00032;EC00021;EC000195;EC000340;EC0001381"
"Glutathione metabolism","19","13","9","13.75","0.13121","0.22784","0.039625","100","1","1","1","1","P12","EC00040;EC00041;EC00042;EC0004;EC000517;EC000518;EC000100;EC000101;EC00019;EC00020;EC000701;EC000739;EC000740;EC000741;EC00073;EC00074;EC000298"
"Lysine degradation","21","14","11","18.661","0.15476","0.24316","0.041944","100","1","1","1","1","P13","EC00035;EC00036;EC000413;EC000414;EC000415;EC000416;EC000418;EC000815;EC000599;EC000600;EC000302;EC000304;EC0001336;EC0001337;EC0001338;EC000835;EC000377;EC000378;EC000883;EC000664;EC000665;EC000684"
"Linoleic acid metabolism","4","4","4","6.8751","0.1783","0.34792","0.044413","0","0","1","1","1","P14","EC000718;EC000719;EC000720;EC000721;EC0001235;EC0001236;EC0001238;EC000914;EC000915"
"Glyoxylate and dicarboxylate metabolism","31","15","15","14.241","0.17897","0.29046","0.044484","100","1","1","1","1","P15","EC000194;EC000383;EC000643;EC00027;EC000173;EC000603;EC000605;EC000606;EC00060;EC00063;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC000213"
"Propanoate metabolism","19","10","9","9.8216","0.20753","0.35495","0.047702","0","0","1","1","1","P16","EC000113;EC000114;EC000116;EC000118;EC0001114;EC00032;EC00028;EC00029;EC00018;EC000636;EC0001392;EC000206"
"Steroid hormone biosynthesis","87","77","49","30.938","0.22137","0.301","0.049351","0","0","1","1","1","P17","EC000207;EC000863;EC000977;EC000980;EC000745;EC000990;EC000459;EC000460;EC000903;EC000904;EC000452;EC000453;EC000656;EC000531;EC000532;EC000991;EC000992;EC000993;EC000995;EC000424;EC000592;EC000593;EC000944;EC000953;EC000952;EC000892;EC0001354;EC0001355;EC000996;EC0001353;EC0001197;EC0001193;EC000999;EC0001000"
"Terpenoid backbone biosynthesis","14","7","6","8.3483","0.26884","0.44577","0.055508","0","0","1","1","1","P18","EC000385;EC000386;EC000649;EC000640;EC000328;EC000329;EC0001375;EC000844;EC000846;EC000847"
"Pentose phosphate pathway","23","23","20","25.045","0.30458","0.40643","0.060709","100","1","1","1","1","P19","EC00086;EC00088;EC000735;EC000127;EC000129;EC000130;EC000131;EC000137;EC000138;EC000119;EC000122;EC000965;EC000966;EC000967;EC000341;EC000673;EC000264;EC000265;EC000216;EC000217;EC000218;EC000266;EC000753;EC000754;EC000132;EC000278;EC000213"
"Glycine, serine and threonine metabolism","30","22","18","27.991","0.30508","0.40102","0.060785","100","1","1","1","1","P20","EC00060;EC00063;EC000203;EC000213;EC000322;EC000323;EC000325;EC000774;EC000776;EC000607;EC000610;EC00028;EC00029;EC000208;EC000209;EC000266;EC000194;EC000291;EC000100;EC000101;EC000113;EC000114;EC000116;EC000118;EC000855;EC000856;EC00018;EC000397;EC000398;EC000399"
"Nitrogen metabolism","6","3","3","2.9465","0.3148","0.6257","0.062295","100","1","1","1","1","P21","EC00019;EC00020;EC000195;EC00057"
"alpha-Linolenic acid metabolism","12","5","2","4.9108","0.33893","0.58292","0.066227","0","0","1","1","1","P22","EC0001141;EC0001142;EC0001265;EC0001267;EC0001268;EC0001269"
"Arginine and proline metabolism","35","33","25","33.393","0.3494","0.44015","0.068019","100","1","1","1","1","P23","EC000291;EC00073;EC00074;EC000298;EC00011;EC000462;EC000322;EC000323;EC000325;EC000377;EC000378;EC0001100;EC000739;EC000740;EC000741;EC000397;EC000398;EC000399;EC000169;EC000170;EC00019;EC00020;EC000834;EC0001101;EC0001102;EC0001103;EC000643;EC000781;EC000573;EC000574;EC000815;EC000859;EC000860;EC000861;EC00018"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","4","6.8751","0.34992","0.55688","0.06811","100","1","1","1","1","P24","EC000189;EC000190;EC00078;EC00079;EC00081;EC00082;EC000660;EC000661"
"Pyruvate metabolism","20","12","9","8.8394","0.3556","0.53821","0.069108","100","1","1","1","1","P25","EC000938;EC00027;EC00068;EC00070;EC000206;EC00018;EC000173;EC0001116;EC0001117;EC000234"
"Citrate cycle (TCA cycle)","16","14","12","10.804","0.3586","0.52362","0.069641","100","1","1","1","1","P26","EC00021;EC000964;EC00032;EC000962;EC000188;EC00027;EC000173;EC000383;EC00018;EC000938;EC00068;EC00070"
"Nicotinate and nicotinamide metabolism","15","14","10","14.732","0.36055","0.5013","0.06999","100","1","1","1","1","P27","EC00037;EC00039;EC000872;EC0001080;EC000666;EC000667;EC000828;EC000178;EC000179;EC000180;EC000181;EC0004;EC000257;EC000259;EC0001082;EC0001084"
"Primary bile acid biosynthesis","46","32","29","22.099","0.4159","0.53208","0.080782","0","0","1","1","1","P28","EC000207;EC000863;EC000725;EC000726;EC000709;EC000977;EC000980;EC000975;EC000793;EC000248;EC000981;EC000982;EC0001343;EC0001344;EC000525;EC000983;EC000916;EC000917;EC000986;EC0001346;EC0001348;EC000743;EC000744"
"Valine, leucine and isoleucine biosynthesis","8","8","6","11.295","0.43981","0.60293","0.086027","100","1","1","1","1","P29","EC000208;EC000209;EC000141;EC000143;EC000144;EC000159;EC000160;EC000113;EC000114;EC000116;EC000118;EC000203"
"Porphyrin metabolism","29","10","5","9.3305","0.44521","0.62414","0.087265","30","0.3","1","1","1","P30","EC000635;EC000582;EC000583;EC000584;EC000397;EC000398;EC000399;EC00019;EC00020;EC0001066"
"Ascorbate and aldarate metabolism","8","8","5","7.3662","0.45119","0.65129","0.088659","100","1","1","1","1","P31","EC000216;EC000217;EC000218;EC000800;EC000264;EC000265;EC000212;EC000552"
"Thiamine metabolism","5","3","2","2.4554","0.47093","0.79204","0.093453","100","1","1","1","1","P32","EC000100;EC000101;EC000826"
"Cysteine and methionine metabolism","33","30","21","35.849","0.487","0.57741","0.097581","100","1","1","1","1","P33","EC0001258;EC000197;EC00011;EC000774;EC000776;EC00060;EC00063;EC00065;EC00067;EC00017;EC0001260;EC000446;EC000436;EC000100;EC000101;EC0001386;EC0001387;EC0001388;EC000322;EC000323;EC000325;EC000113;EC000114;EC000116;EC000118;EC000607;EC000610;EC000765;EC000766;EC000746;EC000748;EC00018;EC0001067;EC0001389;EC0001391;EC000213"
"Amino sugar and nucleotide sugar metabolism","39","38","26","28.974","0.5086","0.60886","0.10347","0","0","1","1","1","P34","EC000155;EC000156;EC000157;EC000348;EC0001116;EC0001117;EC000272;EC000275;EC00086;EC00088;EC000340;EC000817;EC000819;EC000612;EC000613;EC000614;EC000841;EC000729;EC000314;EC000315;EC000316;EC000317;EC000280;EC000281;EC000146;EC000210;EC000148;EC0001398;EC0001399"
"Folate biosynthesis","26","22","16","13.75","0.50929","0.65431","0.10367","0","0","1","1","1","P35","EC000271;EC0001096;EC0001094;EC000581;EC000928;EC000164;EC000165;EC0001097;EC0001098;EC0001256;EC000276;EC000828;EC0001378;EC0001401"
"Purine metabolism","70","62","44","56.474","0.5166","0.58722","0.10576","0","0","1","1","1","P36","EC00026;EC000362;EC000364;EC000365;EC000127;EC000129;EC000130;EC000131;EC00057;EC000132;EC000891;EC000906;EC000908;EC000924;EC000919;EC0006;EC00013;EC00015;EC000148;EC000219;EC000220;EC000221;EC000223;EC000352;EC000463;EC000466;EC0001001;EC0001003;EC000733;EC000164;EC000165;EC000268;EC000280;EC000281;EC000245;EC000246;EC000442;EC000669;EC000901;EC000369;EC000370;EC000232;EC000896;EC000685;EC000292;EC000293;EC000168;EC000697;EC0001413;EC0001416;EC000358;EC000150;EC000893;EC0001125;EC0001126;EC0001419"
"One carbon pool by folate","26","22","13","23.081","0.53153","0.64276","0.11019","0","0","1","1","1","P37","EC000411;EC000410;EC00065;EC00067;EC00011;EC00017;EC000203;EC000322;EC000323;EC000325;EC00028;EC00029;EC00060;EC00063;EC000774;EC000776;EC000354;EC000219;EC000220;EC000221;EC000223;EC000100;EC000101"
"Fatty acid biosynthesis","9","7","5","8.8394","0.54063","0.71563","0.113","100","1","1","1","1","P38","EC000251;EC000252;EC000194;EC0001137;EC0001138;EC000801;EC000802;EC0001135;EC0001136"
