"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Alanine, aspartate and glutamate metabolism","28","27","26","46.838","0.0050005","0.010891","0.027727","100","1","0.3450345","0.751479","1","P1","EC000621;EC000622;EC000623;EC000624;EC000625;EC00037;EC00039;EC000175;EC000176;EC000177;EC000836;EC000837;EC000838;EC000839;EC000884;EC00028;EC00029;EC000113;EC000114;EC000115;EC000116;EC000118;EC00019;EC00020;EC000322;EC000323;EC000324;EC000325;EC00057;EC00058;EC00059;EC000588;EC000589;EC000859;EC000861;EC0001216;EC0001217;EC0001383;EC000188;EC00027;EC000139;EC000140;EC00018;EC000402;EC000403;EC000404;EC00030;EC00032;EC00021;EC000195;EC000338;EC000339;EC000340;EC000827;EC0001380;EC0001381"
"D-Amino acid metabolism","15","15","15","23.419","0.0055986","0.017444","0.027766","100","1","0.3807048","1","1","P2","EC00057;EC00058;EC00059;EC00019;EC00020;EC00037;EC00039;EC00060;EC00061;EC00062;EC00063;EC00053;EC00054;EC00073;EC00074;EC000169;EC000170;EC000171;EC000172;EC000397;EC000399;EC000739;EC000740;EC000741;EC000742;EC00027;EC000880;EC000881;EC000859;EC000861"
"Arginine biosynthesis","14","12","12","19.286","0.0083679","0.027524","0.02795","100","1","0.5606493","1","1","P3","EC00019;EC00020;EC00053;EC00054;EC000400;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000139;EC000140"
"Glutathione metabolism","19","13","13","19.286","0.0083679","0.027524","0.02795","93","0.93","0.5606493","1","1","P4","EC00040;EC00041;EC00042;EC0004;EC000145;EC000516;EC000517;EC000518;EC000100;EC000101;EC000102;EC00019;EC00020;EC000701;EC000702;EC000739;EC000740;EC000741;EC000742;EC00073;EC00074;EC000151;EC000298;EC000533;EC0001290"
"Porphyrin metabolism","29","10","10","13.087","0.030339","0.094522","0.029458","0","0","1","1","1","P5","EC0001151;EC000443;EC000444;EC000445;EC000634;EC000635;EC000582;EC000583;EC000584;EC000586;EC000397;EC000399;EC00019;EC00020;EC000433;EC0001066;EC0001397"
"Pyruvate metabolism","20","12","11","12.398","0.040644","0.12049","0.030195","100","1","1","1","1","P6","EC00027;EC00068;EC00070;EC000843;EC000206;EC00018;EC000173;EC000174;EC0001116;EC0001117;EC0001118;EC00064;EC000233;EC000234;EC000139;EC000140"
"Glycine, serine and threonine metabolism","30","22","21","39.261","0.043974","0.079358","0.030437","4","0.04","1","1","1","P7","EC00060;EC00061;EC00062;EC00063;EC000203;EC000204;EC000475;EC000213;EC000214;EC000215;EC000322;EC000323;EC000324;EC000325;EC000774;EC000775;EC000776;EC000607;EC000608;EC000610;EC00028;EC00029;EC000161;EC000162;EC000208;EC000209;EC000266;EC000194;EC000289;EC000290;EC000291;EC000831;EC000100;EC000101;EC000102;EC000113;EC000114;EC000115;EC000116;EC000118;EC000855;EC000856;EC00018;EC000397;EC000399"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","4","3","3","5.5103","0.045067","0.21506","0.030517","0","0","1","1","1","P8","EC000182;EC000251;EC000252;EC000333;EC000334;EC000335;EC000336;EC000337"
"beta-Alanine metabolism","21","14","14","22.73","0.057335","0.11929","0.031431","100","1","1","1","1","P9","EC000206;EC00018;EC00028;EC00029;EC00037;EC00039;EC000175;EC000176;EC000177;EC000393;EC000394;EC000395;EC000396;EC000366;EC000367;EC000368;EC000573;EC000574;EC000533;EC000958;EC000107;EC000108;EC000960;EC000961;EC000152;EC000154;EC000298"
"Glyoxylate and dicarboxylate metabolism","31","15","15","19.975","0.058563","0.12742","0.031524","100","1","1","1","1","P10","EC000194;EC000383;EC000643;EC000644;EC00027;EC000173;EC000174;EC000604;EC000605;EC00060;EC00061;EC00062;EC00063;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC00058;EC00059;EC000213;EC000214;EC000215"
