"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Taurine and hypotaurine metabolism","8","6","6","11.9","0.0068524","0.046625","0.027581","0","0","0.4728156","1","1","P1","EC000446;EC000447;EC000450;EC000451;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC000247;EC000248;EC0001085;EC0001086;EC0001087;EC0001088"
"Glyoxylate and dicarboxylate metabolism","31","15","15","21.569","0.0077394","0.02851","0.02764","100","1","0.5262792","1","1","P2","EC000193;EC000194;EC000382;EC000383;EC000643;EC000644;EC00027;EC000173;EC000174;EC000603;EC000604;EC000605;EC00060;EC00061;EC00062;EC00063;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC00058;EC00059;EC000213;EC000214;EC000215"
"Pyruvate metabolism","20","12","11","13.388","0.027943","0.10263","0.02901","100","1","1","1","1","P3","EC00027;EC00068;EC00069;EC00070;EC000843;EC000206;EC00018;EC000173;EC000174;EC0001116;EC0001117;EC0001118;EC00064;EC000233;EC000234;EC000139;EC000140"
"D-Amino acid metabolism","15","15","15","25.288","0.030148","0.074881","0.029164","100","1","1","1","1","P4","EC00057;EC00058;EC00059;EC00019;EC00020;EC00037;EC00039;EC00060;EC00061;EC00062;EC00063;EC00053;EC00054;EC00073;EC00074;EC000169;EC000170;EC000171;EC000172;EC000397;EC000399;EC000739;EC000740;EC000741;EC000742;EC00027;EC000880;EC000881;EC000859;EC000861"
"Glutathione metabolism","19","13","13","20.825","0.036084","0.094882","0.029583","100","1","1","1","1","P5","EC00040;EC00041;EC00042;EC0004;EC000145;EC000515;EC000516;EC000517;EC000518;EC000100;EC000101;EC000102;EC00019;EC00020;EC000701;EC000739;EC000740;EC000741;EC000742;EC00073;EC00074;EC000151;EC000298;EC000533;EC0001290"
"beta-Alanine metabolism","21","14","14","24.544","0.036914","0.089156","0.029642","100","1","1","1","1","P6","EC000206;EC00018;EC00028;EC00029;EC00037;EC00039;EC000175;EC000176;EC000177;EC000393;EC000394;EC000395;EC000396;EC000366;EC000367;EC000368;EC000573;EC000574;EC000575;EC000533;EC000958;EC000959;EC000107;EC000108;EC000110;EC000960;EC000152;EC000154;EC000298"
"Primary bile acid biosynthesis","46","32","32","33.469","0.057117","0.1119","0.03112","0","0","1","1","1","P7","EC000207;EC000863;EC000864;EC000725;EC000726;EC000709;EC000710;EC000712;EC000713;EC000976;EC000977;EC000978;EC000979;EC000975;EC000792;EC000793;EC000794;EC000795;EC000247;EC000248;EC000981;EC000694;EC000695;EC0001343;EC0001345;EC000525;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001347;EC0001348;EC000743;EC000744"
"Propanoate metabolism","19","10","10","14.875","0.0668","0.17598","0.031857","0","0","1","1","1","P8","EC000113;EC000114;EC000115;EC000116;EC000118;EC0001114;EC0001115;EC00030;EC00032;EC00028;EC00029;EC00018;EC000636;EC000637;EC000638;EC00064;EC0001392;EC000206"
"Sphingolipid metabolism","11","11","10","14.131","0.083449","0.2103","0.033167","0","0","1","1","1","P9","EC0001123;EC0001124;EC000564;EC000299;EC000300;EC000182;EC00060;EC00061;EC00062;EC00063;EC000731;EC000732;EC0001212;EC000333;EC000334;EC000335;EC000337"
"Porphyrin metabolism","29","10","10","14.131","0.083449","0.2103","0.033167","0","0","1","1","1","P10","EC0001151;EC000443;EC000444;EC000445;EC000634;EC000635;EC000582;EC000583;EC000584;EC000586;EC000397;EC000399;EC00019;EC00020;EC000433;EC0001066;EC0001397"
"Cysteine and methionine metabolism","33","30","26","54.294","0.086999","0.13864","0.033454","100","1","1","1","1","P11","EC000662;EC000663;EC0001258;EC000647;EC000774;EC000776;EC000183;EC000184;EC00060;EC00061;EC00062;EC00063;EC00065;EC00067;EC00017;EC0001260;EC000446;EC000447;EC000434;EC000435;EC000436;EC000437;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC0001209;EC0001386;EC0001387;EC0001388;EC000322;EC000323;EC000324;EC000325;EC000113;EC000114;EC000115;EC000116;EC000118;EC000607;EC000608;EC000609;EC000610;EC000765;EC000766;EC0001005;EC000746;EC000747;EC0001004;EC00018;EC0001067;EC0001069;EC0001389;EC0001390;EC000213;EC000214;EC000215"
"Alanine, aspartate and glutamate metabolism","28","27","26","50.575","0.095072","0.15223","0.034117","100","1","1","1","1","P12","EC000621;EC000622;EC000623;EC000624;EC00037;EC00039;EC000175;EC000176;EC000177;EC000836;EC000837;EC000838;EC000839;EC000884;EC00028;EC00029;EC000113;EC000114;EC000115;EC000116;EC000118;EC00019;EC00020;EC000322;EC000323;EC000324;EC000325;EC00057;EC00058;EC00059;EC000588;EC000589;EC000859;EC000861;EC0001216;EC0001217;EC0001383;EC000188;EC00027;EC000139;EC000140;EC00018;EC000402;EC000403;EC000404;EC00030;EC00032;EC00021;EC000195;EC000338;EC000339;EC000340;EC000827;EC0001380;EC0001381"
"Arginine biosynthesis","14","12","12","20.825","0.096268","0.19996","0.034216","100","1","1","1","1","P13","EC00019;EC00020;EC00053;EC00054;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000139;EC000140"
"Fatty acid biosynthesis","9","7","7","13.388","0.10379","0.24976","0.034848","100","1","1","1","1","P14","EC000251;EC000252;EC000193;EC000194;EC0001137;EC0001138;EC0001139;EC000801;EC000802;EC000804;EC000715;EC000716;EC000717;EC0001135;EC0001136;EC000182"
"Arachidonic acid metabolism","43","43","43","29.75","0.12444","0.21823","0.03665","0","0","1","1","1","P15","EC000920;EC000921;EC000922;EC000923;EC000228;EC000229;EC000230;EC000760;EC000761;EC000762;EC0001110;EC0001113;EC000576;EC000577;EC000578;EC000579;EC000763;EC000389;EC000390;EC000391;EC000392;EC000499;EC000500;EC000501;EC000503;EC000909;EC000910;EC0001225;EC0001226;EC0001107;EC0001108;EC0001104;EC0001105"
