"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glyoxylate and dicarboxylate metabolism","31","15","15","23.142","0.00090031","0.007953","0.02686","100","1","0.06212139","0.540804","1","P1","EC000193;EC000194;EC000382;EC000383;EC000384;EC000643;EC000644;EC00027;EC000173;EC000174;EC000603;EC000604;EC000605;EC000606;EC00060;EC00061;EC00062;EC00063;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC00058;EC00059;EC000213;EC000214;EC000215"
"Amino sugar and nucleotide sugar metabolism","39","38","38","47.082","0.0020386","0.0066108","0.026934","0","0","0.1386248","0.4561452","1","P2","EC000155;EC000156;EC000157;EC000348;EC000349;EC00033;EC0001116;EC0001117;EC0001118;EC000272;EC000273;EC000274;EC000275;EC00085;EC00086;EC00087;EC00088;EC00089;EC00022;EC000192;EC000338;EC000339;EC000340;EC00099;EC00023;EC00024;EC00025;EC000306;EC000817;EC000818;EC000819;EC000612;EC000613;EC000614;EC000840;EC000841;EC000727;EC000729;EC000314;EC000315;EC000317;EC000280;EC0001385;EC000281;EC000146;EC000147;EC000210;EC000211;EC000869;EC000870;EC000871;EC000148;EC0001398;EC0001399;EC0001400"
"Taurine and hypotaurine metabolism","8","6","6","12.768","0.021304","0.11338","0.028208","100","1","1","1","1","P3","EC000446;EC000447;EC000450;EC000451;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC000247;EC000248;EC0001085;EC0001086;EC0001087;EC0001088"
"Cysteine and methionine metabolism","33","30","30","58.254","0.032999","0.06335","0.029014","100","1","1","1","1","P4","EC000662;EC000663;EC0001258;EC000197;EC000647;EC00011;EC000774;EC000775;EC000776;EC000183;EC000184;EC00060;EC00061;EC00062;EC00063;EC00065;EC00067;EC00017;EC0001260;EC000446;EC000447;EC000434;EC000435;EC000436;EC000437;EC000100;EC000101;EC000102;EC000483;EC000484;EC000485;EC0001209;EC0001386;EC0001387;EC0001388;EC000322;EC000323;EC000324;EC000325;EC000113;EC000114;EC000115;EC000116;EC000118;EC000607;EC000608;EC000610;EC000831;EC0001187;EC000765;EC000766;EC0001005;EC000746;EC000747;EC0001004;EC00018;EC0001067;EC0001068;EC0001069;EC0001389;EC0001390;EC000213;EC000214;EC000215"
"Arginine biosynthesis","14","12","12","22.344","0.043222","0.12034","0.029738","100","1","1","1","1","P5","EC00019;EC00020;EC00053;EC00054;EC000400;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000488;EC000139;EC000140"
"Folate biosynthesis","26","22","22","22.344","0.043222","0.12034","0.029738","0","0","1","1","1","P6","EC000381;EC000269;EC000270;EC000271;EC000562;EC0001096;EC0001094;EC0001095;EC00034;EC000580;EC000581;EC000928;EC000164;EC000165;EC000166;EC0001097;EC0001098;EC0001377;EC0001256;EC0001257;EC000276;EC000277;EC000828;EC0001378;EC0001379;EC0001401"
"Histidine metabolism","16","16","16","40.698","0.058499","0.11642","0.030857","100","1","1","1","1","P7","EC00019;EC00020;EC000866;EC000867;EC000868;EC000540;EC000541;EC000542;EC000543;EC000152;EC000154;EC000366;EC000367;EC000368;EC000941;EC000942;EC000939;EC0001070;EC0001071;EC0001072;EC0001073;EC0001074;EC000372;EC000373;EC000374;EC000650;EC000651;EC000653;EC000626;EC000405;EC000406;EC000407;EC000408;EC000409;EC000573;EC000574;EC000575;EC000199;EC000200;EC0001075;EC0001076;EC0001077;EC0001078;EC00037;EC00039"
"Galactose metabolism","27","26","26","24.738","0.077347","0.17538","0.032301","0","0","1","1","1","P8","EC000724;EC00085;EC00086;EC00087;EC00088;EC00089;EC000438;EC000439;EC000440;EC000441;EC00090;EC00091;EC00092;EC00094;EC00023;EC00024;EC00025;EC000971;EC000972;EC000973;EC000974;EC000968;EC000970;EC00022;EC000341;EC000342;EC000549;EC000551"
"Pyruvate metabolism","20","12","11","14.364","0.07791","0.22618","0.032345","100","1","1","1","1","P9","EC00027;EC00068;EC00069;EC00070;EC000843;EC000206;EC00018;EC000173;EC000174;EC0001116;EC0001117;EC0001118;EC00064;EC000233;EC000234;EC000139;EC000140"
"Starch and sucrose metabolism","12","12","12","12.768","0.11463","0.30308","0.035376","0","0","1","1","1","P10","EC00090;EC00091;EC00092;EC00094;EC00023;EC00024;EC00025;EC00022;EC00085;EC00086;EC00087;EC00088;EC00089;EC000341;EC000342"
