"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Arachidonic acid metabolism","43","43","43","20.3","0.0029387","0.0075573","0.028791","0","0","0.2027703","0.5214537","1","P1","EC000920;EC000921;EC000922;EC000923;EC000228;EC000229;EC000230;EC000760;EC000761;EC000762;EC0001110;EC0001113;EC000576;EC000577;EC000578;EC000763;EC000390;EC000391;EC000392;EC000499;EC000500;EC000501;EC000909;EC0001225;EC0001226;EC0001107;EC0001108;EC0001104;EC0001105"
"Taurine and hypotaurine metabolism","8","6","6","8.1199","0.010439","0.037585","0.029305","100","1","0.709852","1","1","P2","EC000446;EC000450;EC000451;EC000100;EC000101;EC000102;EC000483;EC000484;EC000247;EC000248;EC0001086;EC0001087;EC0001088"
"Biosynthesis of unsaturated fatty acids","36","22","17","17.762","0.019655","0.042798","0.02995","0","0","1","1","1","P3","EC000769;EC000865;EC000251;EC000252;EC000705;EC000707;EC000529;EC000530;EC000718;EC000719;EC000720;EC000721;EC000228;EC000229;EC000230;EC000832;EC000833;EC0001141;EC0001142;EC0001146;EC0001147;EC0001143;EC0001144;EC000949"
"Fructose and mannose metabolism","20","19","18","15.225","0.020694","0.047593","0.030023","1","0.01","1","1","1","P4","EC000549;EC000551;EC00023;EC00024;EC000341;EC000342;EC00086;EC00087;EC00088;EC00089;EC000817;EC000818;EC000819;EC00098;EC000121;EC000122;EC000206;EC000612;EC000613;EC000888;EC000889"
"Terpenoid backbone biosynthesis","14","7","6","8.6274","0.024186","0.070532","0.030272","0","0","1","1","1","P5","EC000385;EC000386;EC000387;EC000648;EC000649;EC000640;EC000641;EC000328;EC000329;EC0001375;EC000844;EC000846;EC000847"
"Thiamine metabolism","5","3","3","2.5375","0.03125","0.18706","0.030783","0","0","1","1","1","P6","EC000100;EC000101;EC000102;EC000826;EC00064"
"Galactose metabolism","27","26","26","15.732","0.034453","0.072574","0.031018","0","0","1","1","1","P7","EC000724;EC00086;EC00087;EC00088;EC00089;EC000438;EC000439;EC000441;EC00090;EC00092;EC00023;EC00024;EC000972;EC000974;EC000968;EC000970;EC00022;EC000341;EC000342;EC000549;EC000551"
"Retinol metabolism","16","16","15","8.1199","0.038051","0.10376","0.031283","0","0","1","1","1","P8","EC000425;EC000426;EC000359;EC000360;EC000757;EC000536;EC000537;EC0001254;EC0001255;EC0001334;EC0001335;EC0001191"
"Histidine metabolism","16","16","16","25.882","0.043989","0.076597","0.031727","100","1","1","1","1","P9","EC00019;EC00020;EC000867;EC000868;EC000540;EC000542;EC000543;EC000152;EC000154;EC000366;EC000368;EC000942;EC000939;EC0001071;EC0001074;EC000373;EC000374;EC000651;EC000653;EC000626;EC000627;EC000405;EC000406;EC000407;EC000573;EC000574;EC000200;EC0001075;EC0001076;EC0001077;EC0001078;EC00037"
"Glycine, serine and threonine metabolism","30","22","18","28.927","0.05315","0.08796","0.032426","58","0.58","1","1","1","P10","EC00060;EC00061;EC000203;EC000213;EC000322;EC000323;EC000325;EC000774;EC000775;EC000776;EC000607;EC000608;EC000610;EC00029;EC000208;EC000209;EC000266;EC000194;EC000289;EC000290;EC000291;EC000100;EC000101;EC000102;EC000113;EC000115;EC000116;EC000117;EC000118;EC000856;EC000857;EC000858;EC00018;EC000397;EC000399"
"Glycolysis or Gluconeogenesis","23","19","18","13.702","0.060142","0.12162","0.03297","100","1","1","1","1","P11","EC00064;EC00018;EC000206;EC00068;EC00070;EC000213;EC000121;EC000122;EC000341;EC000342;EC00086;EC00087;EC00088;EC00089;EC00023;EC00024;EC00027;EC000241"
"Pyrimidine metabolism","39","37","33","41.615","0.071137","0.10528","0.033846","0","0","1","1","1","P12","EC0008;EC00057;EC000326;EC000639;EC000106;EC00072;EC000287;EC000393;EC000394;EC000396;EC000176;EC000177;EC000123;EC000124;EC00045;EC00046;EC00047;EC000427;EC000428;EC000528;EC000243;EC000570;EC000423;EC000700;EC000455;EC000353;EC000354;EC000224;EC000227;EC000200;EC0001394;EC0001395;EC0001188;EC0001189;EC000402;EC000404;EC000282;EC000132;EC000107;EC000108;EC000110;EC00029;EC000523;EC000524;EC000322;EC000323;EC000325;EC0001190"
"Butanoate metabolism","15","9","9","12.18","0.075043","0.15165","0.034163","100","1","1","1","1","P13","EC000636;EC000638;EC000113;EC000115;EC000116;EC000117;EC000118;EC000322;EC000323;EC000325;EC00019;EC00020;EC000249;EC00021;EC00032;EC000771"
"beta-Alanine metabolism","21","14","13","16.747","0.080134","0.14525","0.034581","100","1","1","1","1","P14","EC000206;EC00018;EC00029;EC00037;EC000176;EC000177;EC000393;EC000394;EC000396;EC000366;EC000368;EC000573;EC000574;EC000958;EC000107;EC000108;EC000110;EC000960;EC000152;EC000154;EC000298"
"Porphyrin metabolism","29","10","7","9.6424","0.083053","0.17801","0.034824","0","0","1","1","1","P15","EC000443;EC000445;EC000634;EC000635;EC000582;EC000583;EC000586;EC000397;EC000399;EC00019;EC00020;EC000433;EC0001066"
"Linoleic acid metabolism","4","4","4","7.1049","0.089564","0.21081","0.035371","0","0","1","1","1","P16","EC000718;EC000719;EC000720;EC000721;EC0001234;EC0001235;EC0001236;EC0001237;EC000914;EC000915"
"Amino sugar and nucleotide sugar metabolism","39","38","31","29.942","0.093411","0.14366","0.035699","0","0","1","1","1","P17","EC000155;EC000157;EC000348;EC000349;EC0001116;EC0001117;EC0001118;EC000272;EC00086;EC00087;EC00088;EC00089;EC00022;EC000338;EC000339;EC000340;EC00098;EC00023;EC00024;EC000817;EC000818;EC000819;EC000612;EC000613;EC000729;EC000314;EC000317;EC000280;EC000281;EC000210;EC000211;EC000148;EC0001398;EC0001399;EC0001400"
"Valine, leucine and isoleucine biosynthesis","8","8","8","11.672","0.10439","0.2005","0.036652","100","1","1","1","1","P18","EC000208;EC000209;EC000235;EC000236;EC000237;EC000143;EC000144;EC000158;EC000160;EC000113;EC000115;EC000116;EC000117;EC000118;EC000203"
"Starch and sucrose metabolism","12","12","12","8.1199","0.10479","0.22595","0.036688","0","0","1","1","1","P19","EC00090;EC00092;EC00023;EC00024;EC00022;EC00086;EC00087;EC00088;EC00089;EC000341;EC000342"
"Valine, leucine and isoleucine degradation","35","14","14","16.24","0.10653","0.1858","0.036841","100","1","1","1","1","P20","EC000113;EC000115;EC000116;EC000117;EC000118;EC000235;EC000236;EC000237;EC00064;EC000203;EC000158;EC000160;EC000143;EC000144;EC000322;EC000323;EC000325;EC000636;EC000638;EC00032"
"Inositol phosphate metabolism","21","19","15","12.687","0.11406","0.2101","0.037515","0","0","1","1","1","P21","EC000676;EC000678;EC000341;EC000342;EC00086;EC00087;EC00088;EC00089;EC00023;EC00024;EC000691;EC000693;EC00018;EC000121;EC000122;EC000212"
"Primary bile acid biosynthesis","46","32","30","22.837","0.11444","0.18178","0.037549","0","0","1","1","1","P22","EC000207;EC000863;EC000725;EC000709;EC000710;EC000711;EC000977;EC000978;EC000975;EC000795;EC000247;EC000248;EC000981;EC0001343;EC0001345;EC000525;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001348;EC000743;EC000744"
"Pyruvate metabolism","20","12","10","9.1349","0.11864","0.23892","0.037931","100","1","1","1","1","P23","EC00027;EC00068;EC00070;EC000843;EC000206;EC00018;EC000173;EC0001116;EC0001117;EC0001118;EC00064;EC000234"
"Propanoate metabolism","19","10","9","10.15","0.13124","0.25019","0.039103","0","0","1","1","1","P24","EC000113;EC000115;EC000116;EC000117;EC000118;EC0001114;EC00032;EC00029;EC00018;EC000636;EC000638;EC00064;EC000206"
"Glyoxylate and dicarboxylate metabolism","31","15","15","14.717","0.13163","0.22679","0.039139","100","1","1","1","1","P25","EC000194;EC000383;EC000643;EC000644;EC00027;EC000173;EC000603;EC000605;EC000606;EC00060;EC00061;EC00019;EC00020;EC000266;EC000188;EC00018;EC00057;EC000213"
"Alanine, aspartate and glutamate metabolism","28","27","22","34.51","0.13417","0.19223","0.039381","100","1","1","1","1","P26","EC000621;EC000622;EC000623;EC000624;EC00037;EC000176;EC000177;EC000837;EC000838;EC000839;EC000884;EC00029;EC000113;EC000115;EC000116;EC000117;EC000118;EC00019;EC00020;EC000322;EC000323;EC000325;EC00057;EC000588;EC000859;EC000861;EC0001216;EC0001217;EC0001383;EC000188;EC00027;EC00018;EC000402;EC000404;EC00032;EC00021;EC000338;EC000339;EC000340"
"Glutathione metabolism","19","13","9","14.21","0.17197","0.28385","0.043167","100","1","1","1","1","P27","EC000145;EC000516;EC000517;EC000518;EC000100;EC000101;EC000102;EC00019;EC00020;EC000739;EC000740;EC000741;EC000742;EC00073;EC000151;EC000298;EC0001290"
"D-Amino acid metabolism","15","15","15","17.255","0.19517","0.30159","0.045688","100","1","1","1","1","P28","EC00057;EC00019;EC00020;EC00037;EC00060;EC00061;EC00053;EC00073;EC000169;EC000397;EC000399;EC000739;EC000740;EC000741;EC000742;EC00027;EC000880;EC000881;EC000859;EC000861"
"Steroid biosynthesis","40","33","24","13.195","0.2792","0.42179","0.056274","0","0","1","1","1","P29","EC000654;EC000936;EC000709;EC000710;EC000711;EC000207;EC000933;EC000934;EC0001207;EC0001208;EC000725;EC000842;EC0001409;EC0001343;EC0001345"
"Pentose phosphate pathway","23","23","23","25.882","0.28789","0.38789","0.057516","100","1","1","1","1","P30","EC00086;EC00087;EC00088;EC00089;EC000735;EC000523;EC000524;EC000127;EC000129;EC000137;EC000138;EC000121;EC000122;EC000966;EC000967;EC000341;EC000342;EC000330;EC000332;EC000674;EC000264;EC000216;EC000266;EC000753;EC000754;EC000132;EC000278;EC000213"
"Pantothenate and CoA biosynthesis","18","15","12","21.315","0.3228","0.43788","0.062823","0","0","1","1","1","P31","EC000572;EC000560;EC000561;EC000569;EC000176;EC000177;EC000393;EC000394;EC000396;EC000203;EC00037;EC000848;EC000849;EC000851;EC000100;EC000101;EC000102;EC00029;EC000107;EC000108;EC000110;EC000158;EC000160"
