"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Arginine biosynthesis","14","12","7","8.1142","0.0013122","0.0042529","0.030622","100","1","0.0866052","0.2764385","1","P1","EC00019;EC00020;EC00053;EC00054;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC00057;EC00058;EC000486;EC000487"
"Histidine metabolism","16","16","15","14.779","0.0013327","0.0032265","0.030624","100","1","0.0866255","0.212949","1","P2","EC00019;EC00020;EC000867;EC000540;EC000542;EC000543;EC000152;EC000367;EC000368;EC000942;EC000939;EC0001070;EC0001071;EC000373;EC000374;EC000626;EC000405;EC000573;EC000574;EC000199;EC000200;EC0001075;EC0001076;EC00037;EC00039"
"D-Amino acid metabolism","15","15","13","9.853","0.015894","0.035966","0.031678","100","1","1","1","1","P3","EC00057;EC00058;EC00019;EC00020;EC00037;EC00039;EC00060;EC00063;EC00053;EC00054;EC000172;EC000397;EC000739;EC000741;EC00027;EC000881"
"Porphyrin metabolism","29","10","8","5.5061","0.022635","0.061889","0.03218","0","0","1","1","1","P4","EC0001151;EC000443;EC000635;EC000582;EC000583;EC000586;EC000397;EC00019;EC00020;EC0001066"
"Purine metabolism","70","62","38","33.326","0.052441","0.076152","0.034502","0","0","1","1","1","P5","EC00026;EC000362;EC000364;EC000127;EC000129;EC00057;EC00058;EC000132;EC000891;EC000907;EC000925;EC000924;EC0006;EC00013;EC000148;EC000223;EC000350;EC000351;EC000352;EC0001001;EC000733;EC000164;EC000165;EC000512;EC000268;EC000280;EC000245;EC000246;EC000668;EC000369;EC000590;EC000232;EC000896;EC0001410;EC0001413;EC0001416;EC000357;EC000782;EC0001125;EC0001126;EC0001419"
"Nitrogen metabolism","6","3","2","1.7388","0.059451","0.22844","0.035074","100","1","1","1","1","P6","EC00019;EC00020;EC00057;EC00058"
"beta-Alanine metabolism","21","14","9","9.5632","0.060076","0.11589","0.035125","100","1","1","1","1","P7","EC00037;EC00039;EC000177;EC000367;EC000368;EC000573;EC000574;EC000533;EC000958;EC000107;EC000108;EC000109;EC000152;EC000298"
"Pyrimidine metabolism","39","37","24","23.763","0.06593","0.10038","0.035612","0","0","1","1","1","P8","EC00057;EC00058;EC000639;EC000106;EC000177;EC000124;EC00045;EC000428;EC000528;EC000244;EC000570;EC000423;EC000700;EC000353;EC000225;EC000199;EC000200;EC0001394;EC0001395;EC0001188;EC000404;EC000132;EC000107;EC000108;EC000109;EC000523;EC000524;EC000322;EC000323;EC0001190"
"Pentose phosphate pathway","23","23","19","14.779","0.10974","0.17459","0.039492","68","0.68","1","1","1","P9","EC00085;EC00086;EC00087;EC000523;EC000524;EC000127;EC000129;EC000138;EC000122;EC000966;EC000967;EC000341;EC000330;EC000332;EC000674;EC000266;EC000753;EC000132;EC000278"
"Fructose and mannose metabolism","20","19","16","8.6938","0.11801","0.21054","0.040275","75","0.75","1","1","1","P10","EC000549;EC000551;EC00024;EC000341;EC00085;EC00086;EC00087;EC000818;EC000122;EC000612;EC000613;EC000888"
