"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Leukotriene metabolism","92","42","35","27.431","3.213e-05","8.4708e-05","0.0065315","0","0","0.00330939","0.008724924","0.6727445","P1","EC00028;EC0002020;EC0002019;EC0001917;EC0001915;EC0001760;EC000731;EC000732;EC0001795;EC0001798;EC0001799;EC0001792;EC0001793;EC0001794;EC0001831;EC000261;EC000262;EC000263;EC00035;EC0001927;EC000452;EC000453;EC0001750;EC0001752;EC0002011;EC0001807;EC000701;EC000702;EC000703;EC0001949;EC0001950;EC0001900;EC0001436;EC0001433;EC0001434;EC0001953;EC0002023;EC00055;EC00056;EC00057;EC0001926;EC0002022"
"Prostaglandin formation from arachidonate","78","54","46","23.904","0.00019316","0.00048993","0.0065346","0","0","0.01970232","0.04997286","0.6727445","P2","EC000452;EC000453;EC0001437;EC0001438;EC000731;EC000732;EC0001760;EC0001605;EC0001606;EC0001750;EC0001752;EC0001913;EC0001831;EC0001444;EC0001445;EC000604;EC000605;EC000606;EC000608;EC0001917;EC00055;EC00056;EC00057;EC000261;EC000262;EC000263;EC00028;EC0001440;EC0001442;EC0001443;EC00082;EC0001926;EC0001953;EC0001892;EC0001893;EC0001974"
"Arachidonic acid metabolism","95","60","54","23.12","0.0013421","0.0030297","0.0065569","0","0","0.1355521","0.3059997","0.6727445","P3","EC00035;EC00028;EC0001622;EC000731;EC000732;EC000452;EC000453;EC000604;EC000605;EC000606;EC000608;EC0001207;EC0001208;EC0001835;EC0001831;EC0001792;EC0001793;EC0001794;EC0001917;EC000701;EC000702;EC000703;EC0001807;EC0001433;EC0001434;EC000166;EC0002077;EC00055;EC00056;EC00057;EC000261;EC000262;EC000263"
"Putative anti-Inflammatory metabolites formation from EPA","27","24","21","9.013","0.0042052","0.013255","0.0066127","0","0","0.42052","1","0.6727445","P4","EC00035;EC0001792;EC0001793;EC0001794;EC0001892;EC0001893;EC0001807;EC0001831;EC0001195;EC0001196;EC00055;EC00056;EC00057;EC0002041;EC0002043"
"Aspartate and asparagine metabolism","114","73","53","53.294","0.0046286","0.0074454","0.006621","100","1","0.4582314","0.74454","0.6727445","P5","EC00035;EC00028;EC000193;EC000194;EC000196;EC000462;EC000463;EC000587;EC0001763;EC0001764;EC000459;EC000135;EC0001401;EC0001402;EC000199;EC000828;EC000829;EC000831;EC000832;EC0001083;EC000936;EC0001778;EC0001779;EC0001777;EC0001129;EC0001130;EC000343;EC000713;EC000712;EC000368;EC00053;EC00054;EC0001429;EC000437;EC000438;EC000439;EC00070;EC00074;EC0001013;EC0001014;EC0001182;EC000869;EC000870;EC000620;EC000621;EC000622;EC000623;EC0001753;EC000742;EC000775;EC0001095;EC0001096;EC0001097;EC000166;EC000354;EC000355;EC0001057;EC00055;EC00056;EC00057;EC00042;EC0001780;EC00050;EC00051"
"Glutathione Metabolism","19","10","9","10.189","0.0071685","0.01978","0.006671","82","0.82","0.702513","1","0.6727445","P6","EC000936;EC00035;EC000166;EC000869;EC000870;EC0001129;EC0001130;EC00043;EC0001702;EC00055;EC00056;EC00057;EC000620;EC000621;EC000622;EC000623"
"Pyruvate Metabolism","20","10","7","5.4862","0.0077343","0.029753","0.0066822","22","0.22","0.7502271","1","0.6727445","P7","EC000197;EC000236;EC00042;EC00055;EC00056;EC00057;EC000140;EC000141;EC000142;EC000143"
"Prostaglandin formation from dihomo gama-linoleic acid","11","6","6","5.0943","0.015693","0.055033","0.0068417","0","0","1","1","0.6727445","P8","EC000604;EC000605;EC000606;EC000608;EC0001915;EC0001917;EC0001835;EC0001750;EC0001752"
"Histidine metabolism","33","23","15","22.729","0.037229","0.063939","0.0072941","100","1","1","1","0.6929395","P9","EC00035;EC00032;EC00028;EC0001121;EC0001122;EC0001240;EC000467;EC000469;EC000653;EC000655;EC00043;EC00055;EC00056;EC00057;EC0001398;EC0001399;EC000173;EC000175;EC000225;EC000226;EC0001392;EC0001396;EC000424;EC000425;EC000426;EC000418;EC000419;EC000420"
"Androgen and estrogen biosynthesis and metabolism","95","54","27","17.242","0.074997","0.12754","0.0081664","0","0","1","1","0.7676416","P10","EC00032;EC0001245;EC000541;EC000534;EC000535;EC0001253;EC0001254;EC000720;EC000721;EC000944;EC000493;EC0001305;EC0001562;EC0001563;EC00059;EC00055;EC00056;EC00057;EC0001825;EC0001181;EC0001187"
