"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Arachidonic acid metabolism","95","60","56","29.608","7.9256e-05","0.00022277","0.0065133","0","0","0.008638904","0.02428193","0.7099497","P1","EC00034;EC00035;EC00028;EC00030;EC0001622;EC0001623;EC000731;EC000732;EC000733;EC000452;EC000453;EC000604;EC000605;EC000606;EC0001206;EC0001207;EC0001208;EC0001209;EC00022;EC00024;EC000212;EC0001833;EC0001835;EC0001831;EC0001832;EC0001496;EC0001497;EC0001792;EC0001793;EC0001794;EC0001917;EC000701;EC000703;EC000704;EC0001433;EC0001434;EC0002077;EC00055;EC00056;EC00057;EC000262;EC000263"
"Beta-Alanine metabolism","20","13","12","12.044","0.00020242","0.00099299","0.0065157","0","0","0.02186136","0.10624993","0.7099497","P2","EC00034;EC00035;EC00022;EC000418;EC000419;EC000420;EC000368;EC000369;EC000371;EC00043;EC00044;EC000173;EC000175;EC00036;EC000343;EC000547;EC000236;EC00052;EC00054;EC00033"
"Histidine metabolism","33","23","20","29.106","0.00035295","0.00089965","0.0065186","100","1","0.03776565","0.0971622","0.7099497","P3","EC00034;EC00035;EC00036;EC00032;EC00028;EC00030;EC0001121;EC0001122;EC0001123;EC0001240;EC000467;EC000469;EC000653;EC000654;EC000655;EC000656;EC00043;EC00044;EC00055;EC00056;EC00057;EC00022;EC0001398;EC0001399;EC0001400;EC00026;EC000173;EC000175;EC000225;EC000226;EC0001393;EC0001395;EC0001396;EC0001243;EC000425;EC000426;EC00033;EC000418;EC000419;EC000420"
"Carnitine shuttle","72","39","31","27.098","0.00071915","0.0017972","0.0065257","0","0","0.0762299","0.188706","0.7099497","P4","EC0002105;EC0002098;EC0002099;EC0002102;EC0002065;EC0001829;EC0002104;EC00020;EC00021;EC0002068;EC0002069;EC0001062;EC0001063;EC0001064;EC00022;EC00016;EC0002091;EC0002083;EC0002106;EC0002107;EC0002108;EC0002081;EC000344;EC00019;EC0002054;EC0002052;EC0002053;EC0002112;EC0002113;EC0002114;EC0002115;EC0002101;EC0002056;EC0002058;EC0002073;EC0002074;EC0002075"
"Aspartate and asparagine metabolism","114","73","59","68.248","0.00094701","0.0016428","0.0065301","100","1","0.09943605","0.1741368","0.7099497","P5","EC00034;EC00035;EC00036;EC00028;EC00030;EC000193;EC000194;EC000462;EC000463;EC0001763;EC000459;EC000460;EC000461;EC000134;EC000135;EC000137;EC000139;EC00022;EC0001401;EC0001402;EC00024;EC000199;EC000200;EC000201;EC000828;EC000829;EC000830;EC000831;EC000832;EC0001083;EC000936;EC000934;EC0001776;EC0001778;EC0001777;EC0001129;EC0001130;EC0001131;EC000343;EC000547;EC000121;EC00091;EC00092;EC000713;EC000712;EC000368;EC000369;EC000371;EC00052;EC00054;EC000220;EC000438;EC000439;EC00073;EC0001013;EC0001014;EC0001182;EC0001185;EC000869;EC000622;EC000623;EC000742;EC000775;EC000776;EC0001094;EC0001095;EC0001096;EC0001097;EC000354;EC0001957;EC0001057;EC000767;EC0001432;EC000784;EC00055;EC00056;EC00057;EC00042;EC0001780;EC00050;EC00051"
"Leukotriene metabolism","92","42","30","35.128","0.0016169","0.0033996","0.006543","0","0","0.1681576","0.3535584","0.7099497","P6","EC00028;EC00030;EC0002020;EC0002018;EC0001917;EC0001760;EC000731;EC000732;EC000733;EC0001795;EC0001796;EC0001797;EC0001798;EC0001799;EC0001792;EC0001793;EC0001794;EC0001831;EC0001832;EC00022;EC000262;EC000263;EC00035;EC00034;EC0001927;EC000452;EC000453;EC0001750;EC0002011;EC0002013;EC000701;EC000703;EC000704;EC000966;EC0001949;EC0001950;EC0001433;EC0001434;EC0001953;EC0002023;EC00055;EC00056;EC00057;EC0001926;EC0002021"
"Glutamate metabolism","15","13","12","16.56","0.0054215","0.014105","0.0066172","95","0.95","0.5584145","1","0.7099497","P7","EC00034;EC00035;EC00036;EC00043;EC00044;EC00033;EC000368;EC000369;EC000371;EC00073;EC00047;EC0001109;EC0001110;EC000220;EC00055;EC00056;EC00057;EC000622;EC000623;EC000134;EC000135;EC000137;EC000139"
"Lysine metabolism","52","28","25","31.615","0.0084853","0.016283","0.0066776","100","1","0.8655006","1","0.7099497","P8","EC00034;EC00035;EC00036;EC00032;EC00028;EC00030;EC000348;EC000350;EC0001314;EC0001315;EC0001311;EC0001313;EC0001057;EC00024;EC000560;EC000344;EC00026;EC00050;EC00051;EC00022;EC000810;EC000811;EC000727;EC000728;EC000438;EC000439;EC0001474;EC000284;EC000285;EC000286;EC000481;EC000482;EC000483;EC000484;EC000486;EC00047;EC000817;EC0001141;EC000846"
"Vitamin B1 (thiamin) metabolism","20","11","10","9.5347","0.01446","0.043152","0.006797","0","0","1","1","0.7099497","P9","EC00022;EC0001474;EC00028;EC00030;EC000348;EC000350;EC0001239;EC00033;EC0001066;EC00036;EC000791;EC000792;EC000793;EC0001258"
"Urea cycle/amino group metabolism","85","47","36","56.706","0.015493","0.02419","0.0068178","100","1","1","1","0.7099497","P10","EC00034;EC00035;EC000193;EC000194;EC000887;EC000888;EC00032;EC000354;EC0001109;EC0001110;EC0001057;EC0001171;EC0001172;EC0001175;EC000462;EC000463;EC000500;EC000502;EC000590;EC000591;EC000343;EC00083;EC00085;EC000547;EC000334;EC0001087;EC0001088;EC0001089;EC0001090;EC00043;EC00044;EC00022;EC00024;EC00026;EC000368;EC000369;EC000371;EC000995;EC000548;EC000551;EC000222;EC00036;EC000278;EC000279;EC000459;EC000460;EC000461;EC000873;EC0001083;EC000837;EC000838;EC000657;EC000658;EC000659;EC000660;EC000341;EC000342;EC00052;EC00054;EC00091;EC00092;EC000220;EC000438;EC000439"
"Prostaglandin formation from arachidonate","78","54","50","30.611","0.016005","0.02933","0.0068282","0","0","1","1","0.7099497","P11","EC000444;EC000452;EC000453;EC0001437;EC0001438;EC000731;EC000732;EC000733;EC0001760;EC0001605;EC0001606;EC0001750;EC0001831;EC0001832;EC0001444;EC000604;EC000605;EC000606;EC0001917;EC000761;EC0001909;EC00055;EC00056;EC00057;EC000262;EC000263;EC00028;EC00030;EC00022;EC0001440;EC0001443;EC00082;EC0001926;EC0001579;EC0001953;EC0001893;EC0001973"
