"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Aspartate and asparagine metabolism","114","73","71","106.31","0.003127","0.0056856","0.0068049","100","1","0.34397","0.625416","0.748539","P1","EC00034;EC00035;EC00036;EC00028;EC00031;EC000193;EC000194;EC000196;EC000462;EC000463;EC000587;EC000588;EC0001763;EC0001764;EC000459;EC000461;EC000134;EC000135;EC000136;EC000137;EC000139;EC00022;EC0001401;EC0001402;EC00024;EC000199;EC000200;EC000201;EC000828;EC000829;EC000830;EC000831;EC000832;EC0001761;EC0001083;EC000936;EC000934;EC000937;EC0001776;EC0001778;EC0001779;EC0001777;EC0001129;EC0001130;EC0001131;EC000343;EC000547;EC000121;EC000122;EC000123;EC00091;EC00092;EC0001012;EC000714;EC000713;EC000368;EC000369;EC000370;EC000371;EC00052;EC00054;EC0001428;EC0001429;EC000220;EC000437;EC000438;EC000439;EC00069;EC00070;EC00073;EC00074;EC00075;EC0001013;EC0001014;EC0001182;EC0001183;EC0001184;EC0001185;EC000869;EC000870;EC000621;EC000622;EC000623;EC0001753;EC000742;EC000743;EC000775;EC000776;EC000777;EC000644;EC0001094;EC0001095;EC0001096;EC0001097;EC000166;EC000354;EC000355;EC0001958;EC0001056;EC0001057;EC000767;EC0001432;EC000784;EC000785;EC00055;EC00056;EC00057;EC00042;EC0001780;EC000172;EC00050;EC00051"
"Glycosphingolipid metabolism","67","37","35","43.773","0.012445","0.02802","0.0069941","0","0","1","1","0.7623569","P2","EC000565;EC000567;EC000568;EC00039;EC000379;EC000380;EC000381;EC000383;EC000167;EC00037;EC000352;EC000288;EC000289;EC000345;EC000346;EC0001466;EC0001467;EC000525;EC000526;EC000311;EC000312;EC0001033;EC00059;EC00060;EC00061;EC00062;EC00063;EC0001463;EC0001464;EC0001465;EC00022;EC00041;EC00023;EC00024;EC00076;EC00077;EC00078;EC00079;EC000206;EC0001588;EC000178;EC000176;EC000177;EC000679;EC0001589;EC000923;EC00064;EC00048"
"Beta-Alanine metabolism","20","13","13","18.76","0.019994","0.065165","0.0071515","99","0.99","1","1","0.772362","P3","EC00034;EC00035;EC00022;EC000644;EC000418;EC000419;EC000420;EC000368;EC000369;EC000370;EC000371;EC00043;EC00044;EC000173;EC000175;EC00036;EC000343;EC000547;EC000236;EC00052;EC00054;EC00033"
"Histidine metabolism","33","23","22","45.336","0.020136","0.041824","0.0071545","100","1","1","1","0.772362","P4","EC00034;EC00035;EC00036;EC00032;EC00028;EC00031;EC0001121;EC0001122;EC0001123;EC0001240;EC000467;EC000468;EC000469;EC000470;EC000471;EC000653;EC000654;EC000655;EC000656;EC00043;EC00044;EC00055;EC00056;EC00057;EC000618;EC00022;EC0001397;EC0001398;EC0001399;EC0001400;EC00026;EC000173;EC000175;EC000225;EC000226;EC0001392;EC0001393;EC0001394;EC0001396;EC0001806;EC0001242;EC0001243;EC000424;EC000425;EC000426;EC00033;EC000418;EC000419;EC000420"
"Methionine and cysteine metabolism","94","48","44","75.039","0.024751","0.042302","0.0072526","79","0.79","1","1","0.772362","P5","EC00034;EC00035;EC00036;EC00032;EC00028;EC00031;EC00033;EC000411;EC0001306;EC0001307;EC0001542;EC000808;EC000809;EC000272;EC00022;EC00026;EC000207;EC0006;EC000134;EC000135;EC000136;EC000137;EC000139;EC000264;EC000265;EC000121;EC000122;EC000123;EC000543;EC000544;EC000545;EC0001389;EC0001390;EC0001391;EC000507;EC000508;EC000509;EC00083;EC00085;EC000280;EC000281;EC000969;EC000970;EC00076;EC00077;EC00078;EC00079;EC000222;EC000521;EC000522;EC000166;EC000347;EC000946;EC0001925;EC000530;EC000531;EC00059;EC00055;EC00056;EC00057;EC0001654;EC0001035;EC0001036;EC0001037;EC000252;EC000253;EC000254;EC000256;EC00064;EC000581;EC000582;EC000583;EC0001412;EC0001413;EC0001414;EC0001415;EC000472;EC0001310"
"Leukotriene metabolism","92","42","39","54.716","0.025403","0.047792","0.0072666","0","0","1","1","0.772362","P6","EC00028;EC00031;EC0002020;EC0002019;EC0001917;EC0001915;EC0001760;EC000731;EC000732;EC000733;EC0001795;EC0001796;EC0001798;EC0001799;EC0001792;EC0001793;EC0001794;EC0001831;EC0001832;EC00022;EC000261;EC000262;EC000263;EC00035;EC00034;EC0001927;EC0001928;EC000452;EC000453;EC000454;EC0001750;EC0001751;EC0001752;EC0002010;EC0002011;EC0002013;EC0002014;EC0001935;EC0001807;EC000701;EC000702;EC000703;EC000704;EC000966;EC0001949;EC0001950;EC0001433;EC0001434;EC0001953;EC0002023;EC0002024;EC00055;EC00056;EC00057;EC0002026;EC0001926;EC0002021;EC0002022"
"Putative anti-Inflammatory metabolites formation from EPA","27","24","24","17.978","0.025721","0.080638","0.0072734","0","0","1","1","0.772362","P7","EC00034;EC00035;EC0001792;EC0001793;EC0001794;EC0001892;EC0001893;EC0002045;EC0001807;EC0001831;EC0001832;EC0001195;EC0001196;EC00055;EC00056;EC00057;EC0002041;EC0002042;EC0002043;EC0002039;EC0002040"
"Glutamate metabolism","15","13","13","25.795","0.02694","0.068469","0.0072996","100","1","1","1","0.772362","P8","EC00034;EC00035;EC00036;EC000166;EC00043;EC00044;EC00033;EC000368;EC000369;EC000370;EC000371;EC00073;EC00074;EC00075;EC00045;EC00047;EC0001109;EC000220;EC00055;EC00056;EC00057;EC000621;EC000622;EC000623;EC000134;EC000135;EC000136;EC000137;EC000139"
"Glutathione Metabolism","19","10","10","20.323","0.042483","0.10972","0.0076431","100","1","1","1","0.7795962","P9","EC000934;EC000936;EC000937;EC00034;EC00035;EC000166;EC000869;EC000870;EC0001129;EC0001130;EC0001131;EC00043;EC00044;EC0001702;EC00055;EC00056;EC00057;EC000621;EC000622;EC000623;EC000121;EC000122;EC000123"
"Prostaglandin formation from arachidonate","78","54","52","47.681","0.052181","0.093292","0.0078661","0","0","1","1","0.7944761","P10","EC000444;EC0001968;EC000452;EC000453;EC000454;EC0001437;EC0001438;EC0001439;EC000731;EC000732;EC000733;EC0001760;EC0001604;EC0001605;EC0001606;EC0001750;EC0001751;EC0001752;EC0001913;EC0001914;EC0001831;EC0001832;EC0001444;EC000604;EC000605;EC000606;EC000608;EC0001917;EC000761;EC0001909;EC00055;EC00056;EC00057;EC000261;EC000262;EC000263;EC00028;EC00031;EC00022;EC0001440;EC0001442;EC0001443;EC00082;EC0001926;EC0001579;EC0001953;EC0001892;EC0001893;EC0001973;EC0001974"
