"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Aspartate and asparagine metabolism","114","73","72","113.25","0.0044346","0.0082648","0.0068836","100","1","0.487806","0.909128","0.757196","P1","EC00034;EC00035;EC00036;EC00028;EC00030;EC000193;EC000194;EC000195;EC000196;EC000462;EC000463;EC000587;EC000588;EC0001763;EC0001764;EC000459;EC000461;EC000134;EC000135;EC000136;EC000137;EC000139;EC00022;EC0001401;EC0001402;EC00024;EC000199;EC000200;EC000201;EC000755;EC000758;EC000828;EC000829;EC000830;EC000831;EC000832;EC0001761;EC0001083;EC000936;EC000934;EC000937;EC0001776;EC0001778;EC0001779;EC0001777;EC0001129;EC0001130;EC0001131;EC000343;EC000547;EC000121;EC000122;EC000123;EC00091;EC00092;EC0001012;EC000714;EC000713;EC000368;EC000369;EC000370;EC000371;EC00052;EC00054;EC0001427;EC0001428;EC0001429;EC000220;EC000438;EC000439;EC00069;EC00070;EC00073;EC00074;EC00075;EC0001014;EC0001182;EC0001183;EC0001184;EC0001185;EC000869;EC000620;EC000621;EC000622;EC000623;EC0001753;EC000742;EC000743;EC000744;EC000775;EC000776;EC000777;EC000644;EC0001094;EC0001095;EC0001096;EC0001097;EC000166;EC000354;EC000355;EC0001958;EC0001055;EC0001056;EC0001057;EC0001058;EC000767;EC0001432;EC000784;EC000785;EC00055;EC00056;EC00057;EC00042;EC0001780;EC000172;EC00050;EC00051"
"Arachidonic acid metabolism","95","60","58","49.131","0.0085841","0.02146","0.0069679","0","0","0.9356669","1","0.7595011","P2","EC00034;EC00035;EC00028;EC00030;EC0001622;EC0001623;EC000731;EC000732;EC000733;EC000451;EC000452;EC000453;EC000454;EC000604;EC000605;EC000606;EC000607;EC000608;EC0001206;EC0001207;EC0001208;EC0001209;EC00022;EC00024;EC000211;EC000212;EC0001833;EC0001834;EC0001835;EC0001831;EC0001832;EC0001496;EC0001497;EC0001792;EC0001793;EC0001794;EC0001916;EC0001917;EC000701;EC000702;EC000703;EC000704;EC0001807;EC0001433;EC0001434;EC000166;EC0002077;EC00055;EC00056;EC00057;EC000261;EC000262;EC000263"
"Urea cycle/amino group metabolism","85","47","47","94.098","0.010928","0.020102","0.0070161","100","1","1","1","0.7595011","P3","EC00034;EC00035;EC000193;EC000194;EC000195;EC000196;EC000887;EC000888;EC000889;EC00032;EC000661;EC000662;EC000663;EC000564;EC000183;EC00069;EC00070;EC000354;EC000355;EC0001150;EC0001109;EC0001055;EC0001056;EC0001057;EC0001058;EC0001171;EC0001172;EC0001174;EC0001175;EC000644;EC0001193;EC000462;EC000463;EC000500;EC000501;EC000502;EC000590;EC000591;EC000592;EC000343;EC00083;EC00085;EC000547;EC000332;EC000333;EC000334;EC000227;EC0001087;EC0001088;EC0001089;EC0001090;EC00043;EC00044;EC00022;EC00024;EC00026;EC000172;EC000160;EC000161;EC000368;EC000369;EC000370;EC000371;EC000994;EC000995;EC000548;EC000549;EC000550;EC000551;EC000552;EC000553;EC000222;EC000794;EC00036;EC000278;EC000279;EC000459;EC000461;EC000871;EC000872;EC000873;EC0001083;EC000837;EC000838;EC000839;EC000840;EC000657;EC000658;EC000341;EC000342;EC00052;EC00054;EC00091;EC00092;EC000220;EC000438;EC000439"
"Glycosphingolipid biosynthesis - globoseries","16","9","9","14.156","0.011278","0.068869","0.0070233","0","0","1","1","0.7595011","P4","EC00041;EC00023;EC00060;EC00061;EC00062;EC00063;EC00037;EC000352;EC000167;EC000168;EC00038;EC00039;EC00040;EC000178;EC000176;EC000177;EC00048"
"N-Glycan biosynthesis","48","18","18","24.982","0.018031","0.05828","0.0071642","0","0","1","1","0.7595011","P5","EC000126;EC000127;EC000167;EC000168;EC00072;EC000352;EC000144;EC000145;EC0001178;EC000836;EC00060;EC00061;EC00062;EC00063;EC00037;EC000120;EC00038;EC00039;EC00040;EC00041;EC00023;EC000103;EC000104;EC000105;EC000106;EC000107;EC000413;EC00048"
"N-Glycan Degradation","16","7","7","12.491","0.019158","0.10547","0.007188","0","0","1","1","0.7595011","P6","EC00038;EC00039;EC00040;EC000584;EC000585;EC000586;EC000176;EC000177;EC000178;EC000311;EC000312;EC0002084;EC000750;EC000751;EC000752"
"Glycolysis and Gluconeogenesis","49","38","37","44.967","0.019614","0.04503","0.0071976","0","0","1","1","0.7595011","P7","EC00080;EC000197;EC000198;EC00041;EC00042;EC000695;EC000696;EC000387;EC000388;EC000103;EC000104;EC000105;EC000106;EC000107;EC00033;EC000560;EC000561;EC000562;EC00028;EC00030;EC000273;EC000274;EC00022;EC000142;EC00038;EC00039;EC00040;EC00086;EC00087;EC00088;EC000244;EC000245;EC000246;EC000791;EC000792;EC000793;EC000266;EC000267;EC000284;EC000285;EC000286;EC000287;EC00049;EC000236;EC0001448;EC0001449;EC0001450;EC000220"
"Keratan sulfate degradation","68","8","8","11.658","0.024963","0.12994","0.0073119","0","0","1","1","0.7595011","P8","EC00039;EC00040;EC000176;EC000177;EC000178;EC000311;EC000312;EC00064;EC0002084;EC00023;EC000750;EC000751;EC000752;EC00048"
"Histidine metabolism","33","23","23","48.298","0.025479","0.054381","0.007323","100","1","1","1","0.7595011","P9","EC00034;EC00035;EC00036;EC00032;EC00028;EC00030;EC0002050;EC0001121;EC0001122;EC0001123;EC0001240;EC000467;EC000468;EC000469;EC000470;EC000471;EC000653;EC000654;EC000655;EC000656;EC00043;EC00044;EC00055;EC00056;EC00057;EC000618;EC00022;EC0001397;EC0001398;EC0001399;EC0001400;EC00026;EC000173;EC000175;EC000225;EC000226;EC0001392;EC0001393;EC0001394;EC0001395;EC0001396;EC0001806;EC0001242;EC0001243;EC000424;EC000425;EC000426;EC00033;EC000418;EC000419;EC000420"
"Linoleate metabolism","46","37","36","61.622","0.027134","0.052265","0.0073588","100","1","1","1","0.7595011","P10","EC000166;EC0001800;EC0001801;EC0001802;EC0001803;EC0001804;EC0001805;EC0001159;EC0002037;EC0002029;EC0002030;EC0001827;EC0001828;EC000761;EC0001782;EC0001783;EC0001784;EC0001785;EC0001787;EC0001836;EC0001837;EC0001838;EC0001839;EC0001198;EC0001199;EC0001200;EC0001201;EC0001541;EC0002009;EC00055;EC00056;EC00057;EC00023;EC0001841;EC0001842;EC0001843;EC0001845;EC00082;EC000211;EC000212;EC0001619;EC0001620;EC0001621;EC0001614;EC0001615;EC0001616;EC0001617;EC0001618;EC0001790;EC0001791;EC0001213;EC0001214;EC0001215;EC0001496;EC0001497;EC000890;EC000891;EC000892;EC000893;EC000217;EC000896;EC000897;EC000898;EC000900"
