"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Purine metabolism","80","60","37","34.698","0.0047037","0.0080486","0.0065359","0","0","0.4797774","0.8209572","0.6666618","P1","EC000403;EC00034;EC00035;EC00028;EC000396;EC000397;EC000398;EC00059;EC000185;EC000186;EC000715;EC0001191;EC0001146;EC000256;EC000761;EC000159;EC000558;EC000919;EC000323;EC00041;EC000880;EC000153;EC00086;EC000169;EC0001477;EC0001478;EC000924;EC0001210;EC0001166;EC0001216;EC000278;EC000279;EC000148;EC000150;EC000305;EC000421;EC000629;EC000617;EC00073;EC00074;EC000414;EC000416;EC00052;EC00054;EC00082"
"Nitrogen metabolism","6","4","4","3.3189","0.013988","0.055524","0.0067186","100","1","1","1","0.6785786","P2","EC00034;EC00035;EC000201;EC00073;EC00074;EC00052;EC00054"
"Histidine metabolism","33","23","16","17.5","0.016997","0.03216","0.0067789","100","1","1","1","0.6785786","P3","EC00034;EC00035;EC00032;EC00028;EC0002050;EC0001122;EC0001240;EC000467;EC000653;EC000655;EC000656;EC000619;EC0001397;EC0001398;EC000173;EC000225;EC000226;EC0001392;EC0001393;EC0001243;EC000425;EC000426;EC000419;EC000420"
"Beta-Alanine metabolism","20","13","8","7.2413","0.017078","0.044246","0.0067806","100","1","1","1","0.6785786","P4","EC00034;EC00035;EC000644;EC000419;EC000420;EC000368;EC000369;EC000173;EC000343;EC000547;EC00052;EC00054"
"Prostaglandin formation from arachidonate","78","54","35","18.405","0.03258","0.057191","0.0071009","0","0","1","1","0.6958882","P5","EC000444;EC000453;EC0001437;EC000731;EC000732;EC0001605;EC0001606;EC0001750;EC0001751;EC0001913;EC0001831;EC0001444;EC000604;EC000606;EC000761;EC000261;EC000263;EC00028;EC00082;EC0001579;EC0001572;EC0001892;EC0001893;EC0001974"
"Fructose and mannose metabolism","33","29","23","12.371","0.040576","0.077704","0.0072724","0","0","1","1","0.7054228","P6","EC000387;EC000103;EC000104;EC000105;EC000750;EC000751;EC00039;EC000142;EC00041;EC000825;EC000664;EC000666;EC0001060;EC0001863;EC0001864;EC0001866;EC0001867"
"Urea cycle/amino group metabolism","85","47","27","34.094","0.044076","0.065545","0.0073489","100","1","1","1","0.7054944","P7","EC00034;EC00035;EC000196;EC00032;EC000662;EC000183;EC00069;EC00070;EC000354;EC000355;EC0001171;EC0001174;EC0001175;EC000644;EC0001193;EC000590;EC000591;EC000343;EC000547;EC000333;EC000227;EC0001087;EC0001088;EC0001089;EC0001090;EC000172;EC000368;EC000369;EC000994;EC000278;EC000279;EC000459;EC0001083;EC000837;EC000838;EC000659;EC000341;EC00052;EC00054;EC000438"
"Arginine and Proline Metabolism","45","35","20","20.819","0.04612","0.075929","0.007394","100","1","1","1","0.7054944","P8","EC00034;EC00035;EC000196;EC00069;EC00070;EC000354;EC000355;EC00042;EC000547;EC000227;EC0001087;EC0001088;EC0001089;EC0001090;EC000172;EC000934;EC000936;EC000459;EC0001038;EC00047;EC00073;EC00074;EC00052;EC00054;EC0001431;EC000438"
"Carbon fixation","10","10","9","8.1464","0.047052","0.10076","0.0074146","99","0.99","1","1","0.7054944","P9","EC00042;EC000103;EC000104;EC000105;EC000142;EC000315;EC000387;EC00086;EC000148;EC000150;EC00052;EC00054"
"Pyrimidine metabolism","70","56","35","40.129","0.047754","0.068482","0.0074302","0","0","1","1","0.7054944","P10","EC000128;EC000129;EC000130;EC000399;EC000183;EC000779;EC00073;EC00074;EC00028;EC000430;EC00034;EC00035;EC00061;EC000698;EC000699;EC000442;EC000465;EC00059;EC000368;EC000369;EC000634;EC000135;EC000127;EC000865;EC000258;EC000225;EC000226;EC000692;EC000145;EC000153;EC00086;EC000497;EC000148;EC000150;EC00041;EC000409;EC000410;EC000629;EC000103;EC000104;EC000105;EC000277;EC000201;EC00052;EC00054;EC000491"
