Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
160.060436299398,1mncam,M+Na[1+],84.3759124954479,0.000327167372006443,EC0001
200.9735487715,4nphsf,M-H2O+H[1+],119.235392424765,0.000939748529987128,EC0002
218.984186468212,4nphsf,M+H[1+],120.492756092876,0.000977445241971964,EC0002
232.120268721802,5adtststeroneglc,M-2H[2-],218.187676950001,0.000781311427971332,EC0003
232.120268721802,ahandrostanglc,M-2H[2-],218.187676950001,0.000781311427971332,EC0003
232.120268721802,andrstrnglc,M-2H[2-],218.187676950001,0.000781311427971332,EC0003
391.571680347924,C00016,M-2H[2-],18.4732323694379,0.000406814693974411,EC0004
200.075497201662,C00019,M+2H[2+],104.322174793323,0.000379265108023219,EC0005
200.578042531756,C00019,M(C13)+2H[2+],93.0763436642705,0.000466064985999992,EC0005
399.144594130272,C00019,M+H[1+],111.030810687756,0.000117663502010146,EC0005
346.055680957757,C00020,M-H[-],18.1708093911007,0.000142575473034867,EC0006
347.059861587859,C00020,M(C13)-H[-],18.7534773770928,0.000638054629007456,EC0006
348.069868470228,C00020,M+H[1+],256.797181229254,0.000507996542012279,EC0007
362.05091367369,C00020,M-H+O[-],19.2084574238316,0.000180140459974609,EC0006
370.051966584252,C00020,M+Na[1+],65.949801971531,0.000409882518056293,EC0008
370.052622221275,C00020,M+Na[1+],182.06260412762,0.000245754504931028,EC0009
193.068817911075,C00021,M+2H[2+],67.9318562969004,0.000741444304992456,EC00010
193.569745807365,C00021,M(C13)+2H[2+],81.0098196029848,3.06594050130116e-05,EC00010
385.128006659542,C00021,M+H[1+],73.142889902284,0.000869807228013997,EC00010
386.131558477093,C00021,M(C13)+H[1+],79.3590039101884,0.000717989677013975,EC00010
103.003695760271,C00022,M-H+O[-],19.2934117322922,6.2227040984908e-05,EC00011
122.985279293452,C00022,M+Cl[-],20.8440915430849,0.000379293451985063,EC00011
128.035378244249,C00022,M+ACN-H[-],18.5373064032165,0.000109711018978942,EC00011
133.014261166949,C00022,M+HCOO[-],17.9660525241916,0.000616166949015451,EC00011
147.029519027771,C00022,M+CH3COO[-],20.1986730895123,0.00022402777096886,EC00011
87.0087724901409,C00022,M-H[-],20.6936853913434,4.89569108879095e-05,EC00011
102.055077217507,C00025,M-HCOOH+H[1+],63.6473528705389,7.50737015664527e-07,EC00012
112.039435228913,C00025,M-H4O2+H[1+],69.4908859510263,0.000158762143001923,EC00012
120.065572541639,C00025,M-CO+H[1+],62.0519472278521,9.60748690062019e-05,EC00012
128.035378244249,C00025,M-H2O-H[-],18.5373064032165,5.47110190041167e-05,EC00013
130.049913854916,C00025,M-H2O+H[1+],67.9911688111846,3.73881460120629e-05,EC00012
131.033889021209,C00025,M-NH3+H[1+],69.8816795903949,8.7445561007371e-05,EC00012
146.045878230093,C00025,M-H[-],18.5472862896258,4.5303137000019e-05,EC00013
147.049131279038,C00025,M(C13)-H[-],18.6206579243387,0.000192254192000973,EC00013
148.060417406577,C00025,M+H[1+],63.1810352380194,5.90601930241519e-05,EC00012
149.063594950255,C00025,M(C13)+H[1+],63.9746231352438,0.000281516515002522,EC00012
167.021103730695,C00025,M+Na-2H[-],19.1004766696994,0.000456664234974369,EC00013
187.07241629538,C00025,M+ACN-H[-],17.8738301947564,5.22378499852039e-05,EC00013
145.014347140418,C00026,M-H[-],21.4638089442026,0.00012360718801574,EC00014
161.009302785612,C00026,M-H+O[-],17.5046809376721,0.000169252381994056,EC00014
191.01966345002,C00026,M+HCOO[-],20.2303048143654,0.000518450019995953,EC00014
205.035770188907,C00026,M+CH3COO[-],17.5885973045721,0.000975188907005986,EC00014
161.045779616212,C00031,M-H2O-H[-],22.5780248128921,0.000256082982019734,EC00015
179.056096333011,C00031,M-H[-],23.6305385653844,2.72002189944942e-05,EC00015
180.059803257002,C00031,M(C13)-H[-],22.2314015536931,0.000279723771996032,EC00015
181.071241125525,C00031,M+H[1+],29.2378232196742,0.000564658754996117,EC00015
195.051000111973,C00031,M-H+O[-],20.0352225375595,3.34212570010095e-05,EC00015
203.053130255371,C00031,M+Na[1+],66.8079593281636,0.000453788600992766,EC00016
215.032738701888,C00031,M+Cl[-],19.9732825811423,0.000438701888015203,EC00015
217.029890748604,C00031,M+Cl37[-],18.9740827017239,0.000590748603997326,EC00015
220.0828564891,C00031,M+ACN-H[-],22.447503866018,0.000187955870018186,EC00015
225.061482521106,C00031,M+HCOO[-],23.0696581085349,0.00043752110599371,EC00015
239.077085283576,C00031,M+CH3COO[-],23.6636056947609,0.000390283575995909,EC00015
