"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"De novo fatty acid biosynthesis","106","30","15","13.978","0.00067478","0.0017056",NA,"0","0","0.06545366","0.1654432",NA,"P1","EC00028;EC000930;EC000876;EC000878;EC000635;EC000636;EC0001496;EC0001497;EC0001493;EC0001494;EC0001419;EC0001420;EC000288;EC000289;EC0001499;EC0001500;EC000952;EC0001029;EC0001030;EC0001078;EC000262;EC000263;EC000892;EC000893"
"Fatty Acid Metabolism","63","19","10","9.2355","0.0047788","0.012283",NA,"0","0","0.4587648","1",NA,"P2","EC0002067;EC000344;EC0001029;EC0001030;EC000930;EC0001493;EC0001494;EC000288;EC000289;EC000892;EC000893;EC000876;EC000878;EC000238;EC0002060;EC0002062"
"Fatty acid activation","74","26","12","10.234","0.0061561","0.014808",NA,"0","0","0.5848295","1",NA,"P3","EC00028;EC0002067;EC000636;EC000635;EC0001496;EC0001497;EC0001493;EC0001494;EC0001491;EC000282;EC000288;EC000289;EC000892;EC000893;EC000876;EC000878;EC0001078"
"Histidine metabolism","33","23","14","14.477","0.030043","0.055201",NA,"100","1","1","1",NA,"P4","EC00032;EC00028;EC0001121;EC0001122;EC0001240;EC000467;EC000653;EC000655;EC000656;EC00057;EC0001398;EC0001400;EC000173;EC000175;EC000224;EC0001396;EC0001242;EC0001243;EC000426;EC000418"
"Linoleate metabolism","46","37","23","18.471","0.038606","0.064998",NA,"100","1","1","1",NA,"P5","EC000166;EC0001800;EC0001804;EC0001159;EC0002029;EC0001200;EC0001541;EC00057;EC0001842;EC00082;EC0001619;EC0001620;EC0001621;EC0001615;EC0001616;EC0001617;EC0001791;EC0001214;EC0001215;EC0001496;EC0001497;EC000892;EC000893;EC000896"
"Prostaglandin formation from arachidonate","78","54","29","15.226","0.050494","0.086805",NA,"0","0","1","1",NA,"P6","EC000444;EC0001968;EC0001438;EC000731;EC0001604;EC0001605;EC0001831;EC0001444;EC000604;EC000606;EC0001909;EC00057;EC000262;EC000263;EC00028;EC00082;EC0001926;EC0001579;EC0001893;EC0001974"
"Carnitine shuttle","72","39","20","13.479","0.053092","0.093615",NA,"0","0","1","1",NA,"P7","EC0002102;EC0002065;EC0002104;EC0002068;EC0001062;EC0001063;EC0002091;EC0002083;EC0002106;EC0002108;EC000344;EC0002053;EC0002112;EC0002114;EC0002101;EC0002056;EC0002074;EC0002075"
"Vitamin A (retinol) metabolism","67","46","33","9.4851","0.077023","0.14216",NA,"0","0","1","1",NA,"P8","EC0001649;EC0001975;EC0001893;EC000406;EC0001918;EC000649;EC000650;EC000952;EC0001741;EC000495;EC00028;EC0001206;EC0001208"
"Alanine and Aspartate Metabolism","30","20","9","10.484","0.082461","0.14683",NA,"100","1","1","1",NA,"P9","EC00028;EC00069;EC00073;EC000762;EC000765;EC000766;EC0001088;EC0001089;EC0001090;EC000201;EC000354;EC000355;EC00052;EC00054"
"Bile acid biosynthesis","82","51","38","14.228","0.08528","0.14042",NA,"0","0","1","1",NA,"P10","EC0001113;EC0001756;EC0001280;EC0001283;EC0001202;EC000859;EC000939;EC000940;EC0001148;EC00028;EC0001288;EC000906;EC000884;EC000631;EC0001742;EC000280;EC0001747;EC000238"
"Porphyrin metabolism","43","14","6","7.2387","0.10851","0.20429",NA,"0","0","1","1",NA,"P11","EC000765;EC000766;EC00082;EC000707;EC000708;EC000709;EC000711;EC000774;EC000518;EC000444"
"Saturated fatty acids beta-oxidation","36","13","4","3.9937","0.14081","0.29875",NA,"0","0","1","1",NA,"P12","EC0001062;EC0001063;EC000344;EC000930;EC000288;EC000289"
"Omega-3 fatty acid metabolism","39","15","5","5.9906","0.16732","0.30498",NA,"0","0","1","1",NA,"P13","EC00028;EC0001671;EC0001672;EC0001673;EC0001214;EC0001215;EC0001496;EC0001497"
"Glycerophospholipid metabolism","156","50","25","26.708","0.18202","0.24479",NA,"0","0","1","1",NA,"P14","EC00032;EC0001159;EC0001270;EC000818;EC000810;EC0001463;EC0001074;EC0001370;EC0001206;EC0001208;EC000339;EC000303;EC000345;EC000115;EC000116;EC0001496;EC0001497;EC000624;EC000568;EC00079;EC00039;EC000679;EC000238;EC000892;EC000893;EC00063;EC0001657;EC000262;EC000263"
"Vitamin E metabolism","54","26","16","8.2371","0.21108","0.34104",NA,"0","0","1","1",NA,"P15","EC00028;EC0001996;EC0001920;EC0001962;EC0001919;EC0001001;EC0002049;EC0001994;EC0002003;EC0001773"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","23","14","13.229","0.22172","0.3245",NA,"100","1","1","1",NA,"P16","EC00032;EC00028;EC00069;EC00073;EC000296;EC0001074;EC000812;EC0001407;EC0001411;EC000205;EC000148;EC000150;EC00052;EC00054;EC0001082"
"Nitrogen metabolism","6","4","3","2.7457","0.23418","0.4817",NA,"100","1","1","1",NA,"P17","EC000201;EC00073;EC00052;EC00054"
"Biopterin metabolism","22","18","8","7.4883","0.23836","0.38319",NA,"0","0","1","1",NA,"P18","EC0001852;EC0001854;EC0001227;EC0001074;EC00096;EC00097;EC0001651;EC00099;EC000100"
"C21-steroid hormone biosynthesis and metabolism","112","79","35","16.474","0.24436","0.33993",NA,"0","0","1","1",NA,"P19","EC0001113;EC0001298;EC0001295;EC000960;EC0001293;EC000721;EC0001283;EC000534;EC000535;EC0001245;EC000493;EC0001294;EC0001296;EC0001280;EC0001288;EC000238;EC0001304;EC0001305"
"Vitamin B6 (pyridoxine) metabolism","11","7","4","3.7441","0.25054","0.46535",NA,"100","1","1","1",NA,"P20","EC000290;EC000293;EC000539;EC000341;EC000682"
"Lysine metabolism","52","28","15","15.725","0.26865","0.37088",NA,"100","1","1","1",NA,"P21","EC00032;EC00028;EC000489;EC0001315;EC0001311;EC000560;EC000561;EC000344;EC00050;EC000810;EC000729;EC000438;EC000439;EC000481;EC000485;EC000817;EC000846"
"Urea cycle/amino group metabolism","85","47","17","28.206","0.28243","0.35854",NA,"100","1","1","1",NA,"P22","EC000196;EC00032;EC000662;EC00069;EC000354;EC000355;EC0001150;EC0001171;EC0001174;EC000500;EC000501;EC000590;EC000591;EC000332;EC0001088;EC0001089;EC0001090;EC000278;EC000279;EC000871;EC000873;EC000837;EC000838;EC000839;EC000341;EC00052;EC00054;EC000438;EC000439"
"Vitamin H (biotin) metabolism","5","4","3","3.2449","0.35044","0.60459",NA,"0","0","1","1",NA,"P23","EC00050;EC00028;EC0001419;EC0001420"
"Drug metabolism - other enzymes","31","17","7","7.4883","0.38565","0.55431",NA,"100","1","1","1",NA,"P24","EC0001573;EC0001736;EC0001729;EC0001529;EC0001531;EC0001582;EC0001506;EC0001507"
"Glutathione Metabolism","19","10","6","6.4898","0.39127","0.57308",NA,"100","1","1","1",NA,"P25","EC000936;EC000937;EC000166;EC0001130;EC00057;EC000622;EC000121"
"Aspartate and asparagine metabolism","114","73","34","33.947","0.39832","0.47527",NA,"100","1","1","1",NA,"P26","EC00028;EC000196;EC000587;EC000588;EC0001764;EC000134;EC000138;EC000201;EC000758;EC000828;EC000936;EC000937;EC0001130;EC000121;EC0001012;EC00052;EC00054;EC0001429;EC000438;EC000439;EC00069;EC00073;EC000622;EC000742;EC000775;EC0001094;EC0001096;EC000166;EC000354;EC000355;EC000767;EC00057;EC00050"
"Squalene and cholesterol biosynthesis","55","33","18","8.7363","0.41723","0.57466",NA,"0","0","1","1",NA,"P27","EC000576;EC000238;EC000781;EC0001234;EC0001231;EC000446;EC000795;EC000134;EC000138"
"Vitamin D3 (cholecalciferol) metabolism","16","13","10","4.7426","0.45424","0.6682",NA,"0","0","1","1",NA,"P28","EC000884;EC000906;EC000576;EC0001747;EC0001742"
"Vitamin B1 (thiamin) metabolism","20","11","3","4.7426","0.45424","0.6682",NA,"36","0.36","1","1",NA,"P29","EC00028;EC00080;EC000791;EC000792;EC000793"
"Arachidonic acid metabolism","95","60","32","14.727","0.50179","0.62239",NA,"0","0","1","1",NA,"P30","EC00028;EC000731;EC000604;EC000606;EC0001206;EC0001208;EC0001831;EC0001496;EC0001497;EC0001434;EC000166;EC00057;EC000262;EC000263"
"Tryptophan metabolism","94","66","28","36.942","0.54345","0.61737",NA,"100","1","1","1",NA,"P31","EC00032;EC00028;EC000356;EC000357;EC000358;EC000651;EC000652;EC0001365;EC0001651;EC0001075;EC0001377;EC000612;EC000972;EC00094;EC00095;EC0001151;EC0001152;EC0002004;EC000844;EC0001768;EC0001771;EC0001487;EC0001813;EC0001814;EC000918;EC0002025;EC00057;EC00039;EC0001144;EC0001145;EC0001352;EC000296;EC000600;EC000603"
"Benzoate degradation via CoA ligation","4","1","1","0.74883","0.54457","1",NA,"0","0","1","1",NA,"P32","EC000190"
"Vitamin B12 (cyanocobalamin) metabolism","9","2","1","0.74883","0.54457","1",NA,"0","0","1","1",NA,"P33","EC00032"
"Lipoate metabolism","8","4","2","2.9953","0.54717","0.80174",NA,"47","0.47","1","1",NA,"P34","EC000560;EC000561;EC00050"
"D4&E4-neuroprostanes formation","37","26","9","2.9953","0.54717","0.80174",NA,"29","0.29","1","1",NA,"P35","EC0002033;EC00082;EC000444"
"Butanoate metabolism","34","23","13","12.98","0.55321","0.67895",NA,"100","1","1","1",NA,"P36","EC00028;EC00080;EC000134;EC000138;EC0001317;EC0001472;EC000233;EC000742;EC0001451;EC0001042;EC0001043;EC000282"
"Methionine and cysteine metabolism","94","48","17","23.962","0.55409","0.64629",NA,"100","1","1","1",NA,"P37","EC00032;EC00028;EC000411;EC000808;EC000809;EC000134;EC000138;EC000264;EC000121;EC000507;EC000509;EC000280;EC000970;EC00079;EC000522;EC000166;EC000347;EC00057;EC000253;EC000256;EC0001309;EC0001310"
"Drug metabolism - cytochrome P450","53","35","14","14.228","0.57028","0.6891",NA,"0","0","1","1",NA,"P38","EC0001704;EC0001505;EC0001352;EC000874;EC0001533;EC0001699;EC0001700;EC0001696;EC0001524;EC0001526;EC0001739;EC0001510;EC0001709"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","10","6","6.4898","0.57538","0.74879",NA,"0","0","1","1",NA,"P39","EC00028;EC000145;EC0001104;EC000689;EC000675;EC000121"
"Androgen and estrogen biosynthesis and metabolism","95","54","14","10.983","0.57999","0.71401",NA,"0","0","1","1",NA,"P40","EC00032;EC0001245;EC000534;EC000535;EC000721;EC000493;EC0001304;EC0001305;EC00057;EC0001825"
