"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Omega-3 fatty acid metabolism","39","6","5","1.448","0.0075222","0.036937","0.0053586","0","0","0.5942538","1","0.4233294","P1","EC0006;EC0001219;EC000907;EC000908;EC0001100"
"De novo fatty acid biosynthesis","106","16","9","3.9578","0.0079867","0.02352","0.0053661","0","0","0.6229626","1","0.4233294","P2","EC0006;EC000667;EC000487;EC000489;EC0001100;EC0001096;EC000718;EC000189;EC000677"
"Carnitine shuttle","72","9","5","1.0618","0.012121","0.065836","0.0054341","0","0","0.933317","1","0.4233294","P3","EC000797;EC0001453;EC0001459;EC0001441"
"Fatty acid activation","74","17","7","3.1855","0.022654","0.064439","0.0056114","0","0","1","1","0.4264664","P4","EC0006;EC000489;EC000487;EC0001100;EC0001096;EC000677;EC000667"
"Pyrimidine metabolism","70","40","13","8.8808","0.028634","0.055293","0.0057148","3","0.03","1","1","0.42861","P5","EC00090;EC00091;EC00042;EC0006;EC00037;EC000537;EC000538;EC00096;EC000533;EC000107;EC000341;EC000306;EC000141;EC00025"
"Vitamin A (retinol) metabolism","67","28","18","2.1237","0.039725","0.1228","0.005912","0","0","1","1","0.437488","P6","EC0001406;EC000718;EC000372;EC0006;EC000903"
"Linoleate metabolism","46","30","12","5.9849","0.043033","0.089655","0.0059722","21","0.21","1","1","0.437488","P7","EC0001429;EC00050;EC0001190;EC0001191;EC0001192;EC0001187;EC000907;EC000908;EC0001100;EC000677"
"Glycerophospholipid metabolism","156","40","12","7.819","0.049843","0.094236","0.0060982","0","0","1","1","0.4390704","P8","EC00010;EC0001080;EC0001015;EC000903;EC000256;EC00079;EC0001100;EC000428;EC000169;EC000677;EC00037;EC000189"
"Alanine and Aspartate Metabolism","30","19","8","3.7647","0.052094","0.12333","0.0061405","98","0.98","1","1","0.4390704","P9","EC0006;EC00039;EC00042;EC000815;EC000141;EC000261;EC00025"
"Nitrogen metabolism","6","4","3","1.0618","0.067125","0.25333","0.0064308","100","1","1","1","0.450156","P10","EC000141;EC00042;EC00025"
"Fatty Acid Metabolism","63","10","5","2.6063","0.085225","0.21109","0.0068001","0","0","1","1","0.4692069","P11","EC0001096;EC000677;EC000667;EC000169;EC0001444"
"Histidine metabolism","33","20","7","5.1161","0.092278","0.1815","0.0069501","92","0.92","1","1","0.4726068","P12","EC00010;EC0006;EC000502;EC0001036;EC000119;EC0001034;EC000922;EC000923"
"Squalene and cholesterol biosynthesis","55","16","10","2.0271","0.10988","0.28224","0.0073401","0","0","1","1","0.4917867","P13","EC000436;EC000169;EC000609;EC00096"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","20","6","3.8612","0.13888","0.27581","0.0080344","98","0.98","1","1","0.5302704","P14","EC00010;EC0006;EC00039;EC00042;EC000107;EC00025"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","6","3","1.448","0.1429","0.38828","0.0081363","0","0","1","1","0.5302704","P15","EC0006;EC000825;EC000530"
"CoA Catabolism","7","3","2","0.77225","0.15484","0.52416","0.0084466","0","0","1","1","0.5405824","P16","EC0006;EC000530"
"Omega-6 fatty acid metabolism","55","3","2","0.77225","0.15484","0.52416","0.0084466","0","0","1","1","0.5405824","P17","EC0006;EC000189"
"Vitamin B12 (cyanocobalamin) metabolism","9","2","1","0.19306","0.17038","1","0.00887","0","0","1","1","0.54994","P18","EC00010"
"Drug metabolism - other enzymes","31","10","4","1.641","0.18804","0.45198","0.0093788","86","0.86","1","1","0.5721068","P19","EC0001123;EC0001161;EC0001107"
"Ubiquinone Biosynthesis","10","7","3","1.7376","0.21185","0.48241","0.010115","7","0.07","1","1","0.6069","P20","EC00010;EC0006;EC000146"
"Arginine and Proline Metabolism","45","29","7","5.4057","0.22614","0.37469","0.010588","100","1","1","1","0.624692","P21","EC00039;EC000261;EC000815;EC000709;EC00042;EC00025;EC000328"
"Biopterin metabolism","22","13","2","1.8341","0.23627","0.5118","0.010937","0","0","1","1","0.634346","P22","EC00061;EC00062;EC00064"
"Di-unsaturated fatty acid beta-oxidation","26","3","2","1.0618","0.25629","0.64024","0.011664","0","0","1","1","0.664848","P23","EC0006;EC000677"
"Vitamin B6 (pyridoxine) metabolism","11","4","2","1.0618","0.25629","0.64024","0.011664","99","0.99","1","1","0.664848","P24","EC000405;EC000252"
"Propanoate metabolism","31","12","5","1.9306","0.26116","0.54008","0.011849","0","0","1","1","0.664848","P25","EC0006;EC00096;EC000573"
"Urea cycle/amino group metabolism","85","41","10","9.5566","0.26128","0.37709","0.011854","100","1","1","1","0.664848","P26","EC00010;EC00039;EC000261;EC000452;EC000815;EC000199;EC000642;EC000643;EC000252;EC00025;EC000328"
"Glycosphingolipid metabolism","67","27","6","3.8612","0.28138","0.47821","0.012651","0","0","1","1","0.670503","P27","EC000428;EC000256;EC00037;EC0001080;EC0001168"
"Polyunsaturated fatty acid biosynthesis","21","1","1","0.38612","0.31193","1","0.013979","0","0","1","1","0.726908","P28","EC000667"
"Tyrosine metabolism","160","92","24","17.376","0.33331","0.42423","0.015","100","1","1","1","0.765","P29","EC00010;EC0006;EC0001281;EC000466;EC000252;EC0001136;EC000787;EC00061;EC00062;EC00050;EC000851;EC00064;EC00042;EC000971;EC000987;EC000294;EC000979;EC00096"
"Valine, leucine and isoleucine degradation","65","23","9","4.2474","0.35451","0.55596","0.016093","96","0.96","1","1","0.80465","P30","EC0006;EC00096;EC000164;EC000573;EC000194"
"Alkaloid biosynthesis II","10","4","2","1.3514","0.35894","0.72817","0.016332","8","0.08","1","1","0.80465","P31","EC0006;EC0001172"
"Mono-unsaturated fatty acid beta-oxidation","19","2","1","0.48265","0.37343","1","0.017144","0","0","1","1","0.822912","P32","EC0006"
"Arachidonic acid metabolism","95","45","12","3.3786","0.38079","0.61168","0.017573","0","0","1","1","0.825931","P33","EC0006;EC000903;EC0001100;EC000189"
"Purine metabolism","80","41","9","7.5294","0.39315","0.54494","0.018321","88","0.88","1","1","0.842766","P34","EC0006;EC000129;EC0001086;EC000199;EC000107;EC00042;EC00025;EC00050"
"Vitamin E metabolism","54","10","2","1.5445","0.42462","0.77457","0.020393","0","0","1","1","0.917685","P35","EC0006;EC0001417"
"Butanoate metabolism","34","21","8","4.6335","0.4285","0.62723","0.020666","100","1","1","1","0.917685","P36","EC0006;EC00096;EC000164;EC000573;EC000783"
"Glycosphingolipid biosynthesis - lactoseries","14","3","1","0.57919","0.42947","1","0.020735","0","0","1","1","0.917685","P37","EC00037"
"Blood Group Biosynthesis","44","4","1","0.57919","0.42947","1","0.020735","0","0","1","1","0.917685","P38","EC00037"
"Saturated fatty acids beta-oxidation","36","5","1","0.57919","0.42947","1","0.020735","0","0","1","1","0.917685","P39","EC000797"
"Glycosphingolipid biosynthesis - neolactoseries","16","4","1","0.57919","0.42947","1","0.020735","0","0","1","1","0.917685","P40","EC00037"
"O-Glycan biosynthesis","16","4","1","0.57919","0.42947","1","0.020735","0","0","1","1","0.917685","P41","EC00037"
"Bile acid biosynthesis","82","45","8","3.6682","0.44366","0.66846","0.021773","0","0","1","1","0.917685","P42","EC000832;EC000861;EC0006;EC000169"
"Lysine metabolism","52","23","6","4.73","0.44683","0.64389","0.022013","100","1","1","1","0.917685","P43","EC00010;EC0006;EC000368;EC000419;EC000328"
"Androgen and estrogen biosynthesis and metabolism","95","34","7","2.7029","0.46211","0.72488","0.023212","0","0","1","1","0.917685","P44","EC00010;EC000401;EC0001325"
"Vitamin H (biotin) metabolism","5","3","1","0.67572","0.48054","1","0.02476","0","0","1","1","0.917685","P45","EC0006"
"Aspartate and asparagine metabolism","114","65","16","11.391","0.48684","0.61048","0.025315","100","1","1","1","0.917685","P46","EC0006;EC00096;EC000141;EC000709;EC00025;EC000328;EC00039;EC00042;EC000573;EC000594;EC000261"
"Prostaglandin formation from arachidonate","78","38","4","4.0543","0.52425","0.73448","0.028925","0","0","1","1","0.954525","P47","EC0001067;EC000189;EC0006;EC00050"
"Keratan sulfate biosynthesis","66","5","1","0.77225","0.52707","1","0.02922","0","0","1","1","0.954525","P48","EC00037"
"Phytanic acid peroxisomal oxidation","34","4","1","0.77225","0.52707","1","0.02922","53","0.53","1","1","0.954525","P49","EC0006"
"D4&E4-neuroprostanes formation","37","26","1","0.86878","0.56946","1","0.034114","36","0.36","1","1","1","P50","EC00050"
"C21-steroid hormone biosynthesis and metabolism","112","40","8","3.1855","0.57602","0.80555","0.034953","0","0","1","1","1","P51","EC000832;EC000401;EC000169"
"Tryptophan metabolism","94","58","14","12.163","0.58062","0.6958","0.035558","28","0.28","1","1","1","P52","EC00010;EC0006;EC000263;EC000501;EC000803;EC000467;EC00060;EC0001281;EC0001317;EC0001426;EC000458"
"Vitamin B2 (riboflavin) metabolism","8","4","1","1.0618","0.64326","1","0.045161","0","0","1","1","1","P53","EC0006"
"Glycosphingolipid biosynthesis - globoseries","16","5","1","1.0618","0.64326","1","0.045161","0","0","1","1","1","P54","EC00037"
"Carbon fixation","10","10","2","2.3167","0.64608","0.89367","0.045663","92","0.92","1","1","1","P55","EC000107;EC00025"
"Beta-Alanine metabolism","20","12","2","2.3167","0.64608","0.89367","0.045663","100","1","1","1","1","P56","EC000119;EC00025"
"Selenoamino acid metabolism","35","9","2","2.4133","0.66853","0.90323","0.04991","0","0","1","1","1","P57","EC0006;EC00096"
"Lipoate metabolism","8","4","1","1.1584","0.67531","1","0.051288","33","0.33","1","1","1","P58","EC000419"
"Pentose and Glucuronate Interconversions","15","11","2","1.1584","0.67531","1","0.051288","23","0.23","1","1","1","P59","EC000107"
"Drug metabolism - cytochrome P450","53","21","5","3.7647","0.69132","0.87428","0.054735","3","0.03","1","1","1","P60","EC0001239;EC0001106;EC0001235"
"Vitamin D3 (cholecalciferol) metabolism","16","12","2","1.2549","0.70449","1","0.057792","0","0","1","1","1","P61","EC000436"
"Vitamin B1 (thiamin) metabolism","20","6","1","1.3514","0.73107","1","0.064653","55","0.55","1","1","1","P62","EC0006"
"Glycosphingolipid biosynthesis - ganglioseries","62","10","1","1.448","0.75528","1","0.071848","0","0","1","1","1","P63","EC00037"
"Glutamate metabolism","15","12","2","2.9925","0.78002","0.94511","0.080342","100","1","1","1","1","P64","EC00042;EC00096"
"Glycine, serine, alanine and threonine metabolism","88","43","6","8.2051","0.78784","0.88811","0.083306","100","1","1","1","1","P65","EC00010;EC0006;EC00039;EC000164;EC00096;EC000419"
"N-Glycan biosynthesis","48","9","1","1.641","0.7974","1","0.08714","0","0","1","1","1","P66","EC00037"
"Methionine and cysteine metabolism","94","36","5","7.4329","0.83436","0.92334","0.10456","97","0.97","1","1","1","P67","EC00010;EC0006;EC000306;EC000622;EC00096"
"Phosphatidylinositol phosphate metabolism","59","27","2","3.3786","0.8349","0.96244","0.10485","0","0","1","1","1","P68","EC0001456;EC00037"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","20","4","3.5716","0.85746","0.96894","0.11815","89","0.89","1","1","1","P69","EC000715;EC00050"
"Leukotriene metabolism","92","21","2","3.5716","0.85746","0.96894","0.11815","0","0","1","1","1","P70","EC0006;EC000189"
"Porphyrin metabolism","43","11","1","2.2202","0.88522","1","0.13846","72","0.72","1","1","1","P71","EC00050"
"Glutathione Metabolism","19","9","1","2.4133","0.90508","1","0.15676","100","1","1","1","1","P72","EC000709"
"Glycolysis and Gluconeogenesis","49","33","2","4.1508","0.90935","0.98247","0.16124","94","0.94","1","1","1","P73","EC000419;EC0006"
"Aminosugars metabolism","69","29","2","4.1508","0.90935","0.98247","0.16124","82","0.82","1","1","1","P74","EC00042;EC00037"
"Sialic acid metabolism","107","28","2","4.2474","0.91607","0.98407","0.16878","0","0","1","1","1","P75","EC000942;EC00037"
"TCA cycle","31","17","1","2.7029","0.92866","1","0.18477","87","0.87","1","1","1","P76","EC000419"
"Pentose phosphate pathway","37","33","7","4.537","0.93355","0.98805","0.19179","7","0.07","1","1","1","P77","EC000107;EC0006"
"Xenobiotics metabolism","110","33","2","5.1161","0.95875","0.99328","0.23889","100","1","1","1","1","P78","EC0001096;EC0001196"
"Galactose metabolism","41","34","1","4.6335","0.98954","1","0.36686","37","0.37","1","1","1","P79","EC000942"
