mz,time,mz.1,Name,delta_ppm_vec,mode,ESI,F1,F2,F4,P1,P2,P3,P4,F6,F7,P6,P7,FVPTC2,P8,FVPTC3,FVPTC4,FVPTC5,P9,P10,F20,FVPTC6,P12,F12,F13,P13,F10,F18,P18,P20,P14,F19,FVPTC20,FVPTC7,P15,F14,FVPTC14,FVPTC15,F15,FVPTC16,F16,FVPTC17,F17,FVPTC18,FVPTC19,P16,FVPTC8,FVPTC9,FVPTC10,FVPTC11,F11,FVPTC12,FVPTC13,P17,F8,P11,F9,nist_1,nist_2,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6
88.04038702,18.15151332,88.0404,Alanine,0.147447748,C18,neg,2896008,7859204,6417520,4859011,2369890,2776816,5525921,3076904,1778518,1583009,4649749,1245089,1399164,3639643,4057007,4008631,2135461,5304835,1669540,6685139,3579231,5291962,5898418,4937961,1198748,4835524,8443684,1179891,12302660,7145376,2980045,4276528,2462698,5875048,2048591,1563673,1879719,481887,2988873,718462,3031461,726556,8623377,5259628,2046450,4540883,872519,2036649,4370707,1173333,1926661,2040930,4203386,4756710,4698546,80754,137329,232542,215180,327211,313221,251160,234929
88.04038702,18.15151332,88.040424,Sarcosine,0.420049757,C18,neg,2896008,7859204,6417520,4859011,2369890,2776816,5525921,3076904,1778518,1583009,4649749,1245089,1399164,3639643,4057007,4008631,2135461,5304835,1669540,6685139,3579231,5291962,5898418,4937961,1198748,4835524,8443684,1179891,12302660,7145376,2980045,4276528,2462698,5875048,2048591,1563673,1879719,481887,2988873,718462,3031461,726556,8623377,5259628,2046450,4540883,872519,2036649,4370707,1173333,1926661,2040930,4203386,4756710,4698546,80754,137329,232542,215180,327211,313221,251160,234929
102.0560393,18.30466742,102.056024,2-aminobutyrate,-0.150035553,C18,neg,4901132,17233066,32683548,8398254,6954018,8615629,8481986,6734085,7361058,4589903,16728395,6298775,7500820,5092686,7129828,12153029,6971512,12503749,3253866,10847723,14456339,9860522,12004646,17627990,3020311,8793256,7861032,5629498,16299031,13928085,9519692,9514199,7953927,6819615,4720295,2876717,1993307,1145470,6597425,1974572,4772977,1204091,14979954,10349343,2707904,7644250,3241889,6330183,6130224,1975269,1943627,3343313,10149066,10160390,12115473,235203,187317,190225,163806,246096,197594,165507,158986
102.0560393,18.30466742,102.056024,"n,n-dimethyllycine",-0.150035553,C18,neg,4901132,17233066,32683548,8398254,6954018,8615629,8481986,6734085,7361058,4589903,16728395,6298775,7500820,5092686,7129828,12153029,6971512,12503749,3253866,10847723,14456339,9860522,12004646,17627990,3020311,8793256,7861032,5629498,16299031,13928085,9519692,9514199,7953927,6819615,4720295,2876717,1993307,1145470,6597425,1974572,4772977,1204091,14979954,10349343,2707904,7644250,3241889,6330183,6130224,1975269,1943627,3343313,10149066,10160390,12115473,235203,187317,190225,163806,246096,197594,165507,158986
102.0580365,16.36643214,102.056024,2-aminobutyrate,-19.71943779,C18,neg,0,0,0,0,0,0,0,0,0,20116,36170,0,22032,0,0,0,0,0,8351,0,54560,0,0,0,0,35960,0,0,0,0,0,0,0,0,19138,0,0,0,0,5840,0,0,0,0,0,0,0,0,26061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.0580365,16.36643214,102.056024,"n,n-dimethyllycine",-19.71943779,C18,neg,0,0,0,0,0,0,0,0,0,20116,36170,0,22032,0,0,0,0,0,8351,0,54560,0,0,0,0,35960,0,0,0,0,0,0,0,0,19138,0,0,0,0,5840,0,0,0,0,0,0,0,0,26061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.0516726,23.53258874,112.051636,Creatinine,-0.326783627,C18,neg,516748,207679,583503,358152,679168,545726,408217,374137,201100,621207,388672,561251,170996,442213,358054,269232,459821,623972,183288,510670,309231,367219,551804,257520,184412,54261,333728,1311126,489610,348332,489602,604930,747518,442029,132238,166361,127482,74855,316043,84418,524181,42669,301240,450281,144127,169688,180046,45517,164731,68745,380093,89394,336950,516928,781949,1631036,2296394,2238711,2043362,1996936,1894475,2634702,2618980
113.0130364,18.09295852,113.014024,[15N2]-uracil,8.738567994,C18,neg,307086,0,0,0,349950,96327,44335,0,0,0,0,2056,0,124336,0,0,0,209950,0,0,0,0,0,0,0,0,0,47684,0,0,0,0,0,0,0,31136,0,0,0,0,103152,0,0,0,15429,0,179972,0,0,26054,0,0,0,0,76635,0,0,0,0,0,0,0,0
116.0717473,23.15245815,116.071624,Betaine,-1.062301463,C18,neg,10740808,38772908,26646745,14984287,8347137,13706636,11202613,11822699,4388334,4578501,20118360,7150942,4041475,10123060,14252157,16734381,7767457,14397049,4275971,26550470,16088155,29171254,26277228,35418101,3983117,14155614,25820551,7869884,37337088,11060038,17284758,9236302,14701366,25130493,4590357,3935494,4685715,1602530,10884070,3377525,14308505,2371978,38277212,29892307,7184417,16061518,3483070,10186057,15867230,2515854,3457644,5978151,13899601,20542578,17571033,3161654,4313786,3731161,3742977,3942147,3953712,4454934,4428198
116.0717473,23.15245815,116.071724,Valine,-0.200764279,C18,neg,10740808,38772908,26646745,14984287,8347137,13706636,11202613,11822699,4388334,4578501,20118360,7150942,4041475,10123060,14252157,16734381,7767457,14397049,4275971,26550470,16088155,29171254,26277228,35418101,3983117,14155614,25820551,7869884,37337088,11060038,17284758,9236302,14701366,25130493,4590357,3935494,4685715,1602530,10884070,3377525,14308505,2371978,38277212,29892307,7184417,16061518,3483070,10186057,15867230,2515854,3457644,5978151,13899601,20542578,17571033,3161654,4313786,3731161,3742977,3942147,3953712,4454934,4428198
